,foursquared.csv,repositorium.csv,xbg.csv,simplewebservices.csv
foursquared.csv,0.5,0.0,0.0,0.92
repositorium.csv,0.91,0.61,0.69,0.59
simplewebservices.csv,0.52,0.42,0.57,0.45
xbg.csv,0.83,0.5,0.57,0.55
