,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.39,0.65,0.71,0.0,0.2,0.37,1.0,0.39,0.0,1.0,0.47,0.15,0.89
bibletime.csv,0.23,0.56,0.73,0.49,0.26,0.36,0.65,0.46,0.77,0.54,0.41,0.17,0.88
boost.csv,0.34,0.61,0.74,0.53,0.18,0.45,0.67,0.56,0.87,0.54,0.44,0.21,0.88
codepurge.csv,0.5,0.53,0.75,0.42,0.25,0.34,0.67,0.51,0.8,0.51,0.5,0.35,0.8
etics.csv,0.53,0.8,0.8,0.47,0.5,0.57,0.92,0.58,0.88,0.71,0.46,0.32,0.97
gusanos.csv,0.37,0.56,0.7,0.33,0.6,0.39,0.61,0.34,0.87,0.56,0.49,0.16,0.87
kvs.csv,0.37,0.61,0.81,0.24,0.48,0.51,0.4,0.47,0.67,0.53,0.37,0.5,0.73
mcore3d.csv,0.6,0.62,0.78,0.39,0.21,0.42,0.47,0.58,0.85,0.51,0.49,0.23,0.91
modellus.csv,0.55,0.64,0.77,0.42,0.29,0.53,0.8,0.46,0.79,0.5,0.4,0.15,0.9
monetdb.csv,1.0,0.75,0.77,0.6,0.13,0.57,0.72,0.39,0.93,0.5,0.23,0.18,0.67
projecteqemu.csv,0.38,0.64,0.78,0.34,0.5,0.44,0.73,0.52,0.9,0.67,0.32,0.18,0.89
pydev.csv,0.43,0.64,0.86,0.47,0.25,0.5,0.63,0.56,0.81,0.49,0.55,0.26,0.9
xbplayer.csv,0.5,0.6,0.81,0.5,0.28,0.62,0.7,0.48,0.91,0.46,0.39,0.18,0.89
