,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.49,0.42,0.48,0.47,0.38,0.49,0.49,0.75,0.36,0.36,0.34
cubefs.csv,0.81,0.42,0.45,0.54,0.44,0.52,0.49,0.51,0.92,0.43,0.34
iaml.csv,0.93,0.5,0.68,0.99,0.52,0.51,0.56,0.91,0.59,0.48,0.88
ivataopenportal.csv,0.47,0.42,0.47,0.42,0.36,0.51,0.43,0.41,0.46,0.34,0.34
mb-unit.csv,0.5,0.0,0.63,0.47,0.38,0.41,0.48,0.92,0.45,0.34,0.74
mvdsv.csv,0.94,0.61,0.0,0.98,0.88,0.5,0.94,0.88,0.75,0.86,0.86
nova.csv,0.62,0.55,0.56,0.53,0.52,0.57,0.49,0.5,0.41,0.48,0.43
olex2.csv,0.48,0.58,0.66,0.46,0.39,0.45,0.52,0.52,0.52,0.38,0.45
openwbem.csv,0.45,0.67,0.54,0.52,0.46,0.5,0.56,0.41,0.39,0.48,0.44
xcmetadataservicestoolkit.csv,0.8,0.51,0.51,0.61,0.37,0.45,0.44,0.94,0.37,0.41,0.47
