,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,bibletime.csv,tango-cs.csv
bibletime.csv,0.53,0.13,0.56,0.6,0.51,0.56,0.68,0.71,0.67,0.28,0.54,0.28,0.7,0.48,0.73,0.36,0.42,0.83,0.5
decidr.csv,0.34,0.17,0.57,0.68,0.31,0.51,0.76,0.7,0.66,0.43,0.59,0.17,0.75,0.39,0.69,0.33,0.45,0.89,0.5
doomlegacy.csv,0.65,0.0,0.55,0.5,0.5,0.55,0.71,0.41,0.43,0.41,0.64,0.24,0.74,0.41,0.8,0.22,0.44,0.79,0.5
elmo.csv,0.59,0.21,0.59,0.67,0.44,0.48,0.72,0.67,0.64,0.41,0.58,0.22,0.76,0.4,0.75,0.36,0.42,0.85,0.46
gpac.csv,0.12,0.13,0.56,0.78,0.26,0.5,0.71,0.64,0.65,0.42,0.61,0.22,0.75,0.38,0.5,0.32,0.45,0.78,0.32
illumination.csv,0.0,0.12,0.16,0.36,0.0,0.35,0.13,0.0,0.02,0.0,0.19,0.14,0.27,0.37,0.28,0.65,0.38,0.25,0.0
img-browse-sort.csv,0.64,0.08,0.55,0.68,0.54,0.51,0.65,0.67,0.52,0.44,0.67,0.3,0.8,0.67,0.38,0.28,0.29,0.78,0.44
ktc.csv,0.72,0.22,0.63,0.15,0.59,0.45,0.67,0.6,0.49,0.4,0.31,0.27,0.7,0.47,0.61,0.27,0.6,0.74,0.51
neoengine.csv,0.57,0.14,0.65,0.68,0.45,0.58,0.73,0.7,0.64,0.45,0.43,0.25,0.76,0.48,0.67,0.36,0.61,0.8,0.5
nicepress.csv,0.56,0.15,0.55,0.56,0.57,0.71,0.73,0.68,0.65,0.39,0.62,0.26,0.71,0.41,0.41,0.34,0.42,0.69,0.57
omseek.csv,0.43,0.0,0.21,0.0,0.29,0.14,0.42,0.0,0.21,0.39,0.39,0.41,0.67,0.3,0.12,0.24,0.36,0.43,0.47
pi-qmc.csv,0.4,0.08,0.59,0.68,0.37,0.46,0.56,0.65,0.64,0.33,0.45,0.2,0.62,0.39,0.69,0.34,0.78,0.62,0.46
rosegarden.csv,0.71,0.15,0.56,0.52,0.61,0.55,0.62,0.67,0.48,0.34,0.45,0.26,0.78,0.5,0.82,0.07,0.44,0.8,0.52
sigil.csv,0.68,0.12,0.59,0.59,0.55,0.48,0.62,0.21,0.26,0.47,0.66,0.35,0.85,0.52,0.29,0.17,0.5,0.6,0.38
smarttag.csv,0.61,0.14,0.54,0.68,0.46,0.56,0.63,0.65,0.58,0.4,0.64,0.2,0.67,0.36,0.83,0.38,0.65,0.82,0.56
sylpheed-claws.csv,0.6,0.13,0.55,0.73,0.45,0.51,0.72,0.65,0.7,0.43,0.63,0.2,0.76,0.4,0.84,0.36,0.41,0.88,0.57
tango-cs.csv,0.57,0.22,0.55,0.76,0.4,0.5,0.72,0.67,0.63,0.42,0.68,0.22,0.66,0.3,0.76,0.34,0.57,0.8,0.55
xemeiah.csv,0.58,0.13,0.57,0.52,0.51,0.53,0.72,0.68,0.69,0.41,0.72,0.36,0.76,0.42,0.66,0.0,0.6,0.72,0.57
zscreen.csv,0.64,0.13,0.61,0.76,0.51,0.52,0.7,0.43,0.44,0.37,0.61,0.28,0.8,0.37,0.62,0.26,0.44,0.88,0.49
