,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,bibletime.csv,tango-cs.csv
bibletime.csv,0.57,0.13,0.55,0.53,0.64,0.63,0.64,0.09,0.58,0.33,0.55,0.73,0.65,0.71,0.56,0.62,0.51,0.76,0.57
decidr.csv,0.34,0.68,0.66,0.54,0.45,0.24,0.73,0.09,0.17,0.42,0.62,0.52,0.48,0.21,0.56,0.55,0.21,0.27,0.57
doomlegacy.csv,0.74,0.0,0.09,0.42,0.68,0.67,0.09,0.33,0.36,0.21,0.66,0.65,0.0,0.42,0.7,0.37,0.0,0.69,0.39
elmo.csv,0.66,0.62,0.68,0.56,0.5,0.53,0.64,0.5,0.67,0.3,0.58,0.44,0.68,0.3,0.58,0.55,0.39,0.7,0.54
gpac.csv,0.1,0.05,0.5,0.46,0.33,0.59,0.09,0.61,0.09,0.13,0.24,0.62,0.21,0.5,0.4,0.42,0.17,0.49,0.33
illumination.csv,0.0,0.53,0.12,0.31,0.0,0.32,0.09,0.0,0.01,0.0,0.14,0.36,0.24,0.54,0.19,0.78,0.54,0.18,0.0
img-browse-sort.csv,0.69,0.23,0.57,0.59,0.63,0.59,0.62,0.64,0.47,0.59,0.71,0.58,0.79,0.78,0.29,0.48,0.27,0.67,0.5
ktc.csv,0.75,0.45,0.7,0.11,0.65,0.41,0.64,0.58,0.45,0.52,0.25,0.62,0.65,0.67,0.5,0.39,0.6,0.64,0.55
neoengine.csv,0.57,0.24,0.7,0.61,0.54,0.72,0.71,0.0,0.0,0.63,0.38,0.69,0.71,0.69,0.57,0.59,0.7,0.68,0.54
nicepress.csv,0.62,0.47,0.24,0.5,0.73,0.8,0.72,0.24,0.17,0.56,0.62,0.52,0.37,0.6,0.3,0.54,0.39,0.59,0.65
omseek.csv,0.35,0.0,0.15,0.0,0.22,0.1,0.38,0.0,0.15,0.56,0.31,0.67,0.6,0.46,0.07,0.21,0.27,0.33,0.54
pi-qmc.csv,0.43,0.13,0.69,0.62,0.44,0.56,0.51,0.0,0.24,0.49,0.44,0.56,0.56,0.46,0.55,0.57,0.86,0.48,0.51
rosegarden.csv,0.79,0.58,0.42,0.42,0.72,0.66,0.54,0.65,0.44,0.4,0.41,0.71,0.73,0.72,0.66,0.07,0.59,0.71,0.4
sigil.csv,0.72,0.24,0.58,0.48,0.62,0.48,0.59,0.15,0.19,0.52,0.65,0.56,0.84,0.64,0.21,0.21,0.46,0.49,0.43
smarttag.csv,0.61,0.56,0.21,0.58,0.64,0.66,0.55,0.57,0.59,0.52,0.64,0.54,0.6,0.55,0.45,0.62,0.68,0.66,0.35
sylpheed-claws.csv,0.61,0.0,0.64,0.27,0.58,0.05,0.59,0.63,0.71,0.42,0.24,0.27,0.38,0.3,0.3,0.3,0.09,0.64,0.58
tango-cs.csv,0.6,0.75,0.65,0.17,0.56,0.17,0.7,0.47,0.53,0.0,0.71,0.63,0.63,0.46,0.62,0.51,0.72,0.65,0.61
xemeiah.csv,0.63,0.24,0.58,0.42,0.7,0.44,0.42,0.5,0.57,0.21,0.76,0.61,0.73,0.47,0.56,0.0,0.75,0.62,0.49
zscreen.csv,0.73,0.24,0.68,0.69,0.66,0.63,0.58,0.36,0.37,0.39,0.61,0.71,0.79,0.47,0.52,0.47,0.41,0.69,0.53
