,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,1.0,0.72,0.0,0.0,0.55,0.64,1.0,1.0,0.59,1.0,0.89,0.0
fityk.csv,0.45,0.48,0.82,0.62,0.41,0.69,0.22,0.91,0.66,1.0,0.63,0.38
hatari.csv,0.72,0.4,0.84,0.66,0.77,0.61,0.89,0.09,0.5,1.0,0.91,0.57
lmms.csv,0.21,0.54,0.38,0.69,0.41,0.51,0.56,0.43,0.41,1.0,0.37,0.64
mecat.csv,0.21,0.08,0.32,0.1,0.23,0.01,0.11,0.0,0.14,1.0,0.0,0.09
nullc.csv,0.62,0.64,0.84,0.63,0.73,0.87,0.22,1.0,0.45,0.67,0.06,0.62
oscarmcmaster.csv,0.66,0.6,0.58,0.75,0.82,0.59,0.56,0.94,0.61,1.0,0.37,0.53
superwaba.csv,0.59,0.58,0.7,0.41,0.36,0.48,0.56,0.46,0.75,1.0,0.43,0.43
tycho.csv,0.52,0.38,0.68,0.46,0.5,0.33,0.11,0.77,0.34,0.33,0.43,0.43
vienna-add-in.csv,0.83,0.78,0.5,0.65,0.77,0.73,1.0,0.74,0.3,0.33,0.09,0.62
voms.csv,0.59,0.34,0.94,0.52,0.41,0.43,0.89,0.69,0.48,1.0,0.14,0.66
wsmt.csv,0.03,0.24,0.54,0.1,0.23,0.48,0.0,0.26,0.0,0.0,0.74,0.36
