,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,0.33,0.44,0.18,0.74,0.67,0.86,0.54,0.36,0.32
atlc.csv,0.88,0.67,0.39,0.55,0.26,0.8,0.86,0.5,0.55,0.74
ipfilter.csv,0.68,0.67,0.8,0.77,0.41,0.9,1.0,0.98,0.84,0.63
jmol.csv,0.68,0.33,1.0,0.72,1.0,0.97,1.0,1.0,0.6,0.79
pfaedit.csv,0.0,0.67,0.8,0.74,0.3,0.37,0.57,0.09,0.53,0.37
rockbox.csv,0.02,1.0,0.41,0.49,0.37,0.4,0.71,0.3,0.4,0.79
snakeyaml.csv,0.59,0.67,0.63,0.33,0.67,0.4,0.57,0.46,0.35,0.16
theresa.csv,0.24,1.0,0.74,0.49,0.81,0.37,0.57,0.46,0.42,0.26
trinitycore.csv,0.0,1.0,0.07,0.37,0.33,0.2,0.57,0.0,0.64,0.47
wxcode.csv,0.1,0.0,0.5,0.32,0.26,0.57,1.0,0.37,0.33,0.16
