,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,0.26,0.17,0.0,0.83,0.16,0.21,0.16,0.21,0.16
atlc.csv,0.24,0.7,0.63,0.74,0.2,0.59,0.51,0.42,0.53,0.88
ipfilter.csv,0.93,0.86,0.86,0.83,0.68,0.82,0.63,0.11,0.84,0.66
jmol.csv,0.28,0.74,0.97,0.43,0.99,0.76,0.75,0.95,0.56,0.69
pfaedit.csv,0.0,0.32,0.2,0.74,0.34,0.23,0.13,0.0,0.34,0.16
rockbox.csv,0.0,0.34,0.29,0.3,0.11,0.29,0.38,0.32,0.28,0.31
snakeyaml.csv,0.14,0.18,0.37,0.17,0.21,0.23,0.21,0.74,0.19,0.12
theresa.csv,0.07,0.26,0.34,0.17,0.37,0.2,0.18,0.47,0.22,0.06
trinitycore.csv,0.0,0.48,0.11,0.43,0.13,0.32,0.33,0.16,0.4,0.25
wxcode.csv,0.0,0.12,0.14,0.04,0.03,0.27,0.18,0.0,0.17,0.06
