,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.94,0.92,0.99,0.0,0.9,0.88,0.74,0.67,0.95,0.75,0.9,0.88,0.86
ivef-sdk.csv,0.45,0.5,0.64,0.49,0.53,0.61,0.7,0.0,0.47,0.5,0.5,0.57,0.94
jmri.csv,0.55,0.56,0.59,0.79,0.7,0.92,0.71,0.96,0.54,0.7,0.53,0.93,0.7
jython.csv,0.62,0.78,0.5,0.64,0.53,0.75,0.64,0.95,0.56,0.43,0.52,0.48,0.53
kdenlive.csv,0.44,0.39,0.41,0.36,0.43,0.44,0.52,0.26,0.41,0.44,0.41,0.45,0.42
opentibia.csv,0.39,0.43,0.47,0.41,0.42,0.7,0.55,0.26,0.45,0.54,0.49,0.34,0.4
projectfactory.csv,0.83,0.73,0.75,0.75,0.86,0.76,0.89,0.26,0.93,0.64,0.82,0.81,0.69
runuomondains.csv,0.86,0.89,0.99,0.83,0.93,0.5,0.8,0.8,0.8,0.67,0.86,0.75,0.95
somap.csv,0.42,0.44,0.39,0.46,0.39,0.43,0.42,0.25,0.49,0.38,0.44,0.35,0.43
taverna.csv,0.5,0.83,0.99,0.0,0.76,0.0,0.0,0.89,0.75,0.72,0.89,0.95,0.95
tigermud.csv,0.42,0.45,0.42,0.45,0.41,0.88,0.45,0.95,0.46,0.68,0.47,0.38,0.54
unbvision.csv,0.91,0.57,0.59,0.59,0.57,0.88,0.86,0.78,0.71,0.61,0.51,0.69,0.61
x-ray-mule.csv,0.83,0.84,0.99,0.69,0.7,0.96,0.7,0.5,0.8,0.62,0.88,0.96,0.81
