,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.85,1.0,1.0,0.0,0.97,1.0,0.96,1.0,1.0,0.98
chrysalis.csv,0.23,0.16,0.91,0.33,0.39,0.09,0.59,0.25,0.26,0.24
jahshaka.csv,0.25,0.33,0.63,0.0,0.45,0.21,0.8,0.12,0.54,0.5
jam-daq.csv,0.37,0.08,0.13,0.0,0.18,0.02,0.3,0.0,0.14,0.05
jatlas.csv,0.87,0.45,0.83,0.33,0.16,0.11,0.52,0.29,0.29,0.12
jedit.csv,0.16,0.67,0.5,1.0,0.92,0.36,1.0,0.83,0.4,0.87
mscore.csv,0.24,0.63,0.41,0.67,0.45,0.28,0.67,0.62,0.5,0.3
open-media-library.csv,0.75,0.12,0.24,0.67,0.35,0.4,0.56,0.29,0.31,0.09
panda3d.csv,0.55,0.18,0.41,0.0,0.34,0.11,0.33,0.5,0.29,0.44
wheat.csv,0.51,0.37,0.89,0.0,0.61,0.27,0.74,0.33,0.33,0.25
