,recall,precision,pf,wins
archive-crawler.csv,0.39,0.345,0.32499999999999996,9
gamestone.csv,0.09,0.26,0.13,6
geochat.csv,0.33999999999999997,0.265,0.275,5
igarden.csv,0.345,0.42,0.16999999999999998,11
ingex.csv,0.425,0.36,0.27,10
lphant.csv,0.545,0.27,0.4,3
nabu-library.csv,0.315,0.22999999999999998,0.28500000000000003,0
nebuladevice.csv,0.24,0.28,0.255,4
owlapi.csv,0.495,0.29000000000000004,0.44499999999999995,2
pi-qmc.csv,0.495,0.315,0.445,7
trinitycore.csv,0.42000000000000004,0.305,0.26,8
twostep.csv,0.83,0.32999999999999996,0.71,1
