,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.38,0.13,0.76,0.61,0.44,0.31,0.5,0.77,0.07,0.32,0.27,0.4
gamestone.csv,1.0,0.39,0.0,0.04,0.04,0.07,0.42,0.09,0.53,0.09,0.09,0.07
geochat.csv,0.0,0.35,0.04,0.52,0.35,0.24,0.62,0.23,0.33,0.36,0.27,0.5
igarden.csv,0.25,0.61,0.24,0.61,0.36,0.59,0.12,0.5,0.33,0.32,0.51,0.2
ingex.csv,0.12,0.42,0.6,0.43,0.86,0.55,0.42,0.36,0.2,0.59,0.44,0.3
lphant.csv,0.75,0.26,0.72,0.39,0.36,0.76,0.81,0.82,0.53,0.5,0.56,0.47
nabu-library.csv,0.5,0.52,0.36,0.22,0.88,0.9,0.0,0.14,0.0,0.23,0.55,0.27
nebuladevice.csv,0.25,0.23,0.0,0.48,0.64,0.14,0.08,0.05,0.73,0.41,0.69,0.0
owlapi.csv,0.0,0.23,0.84,0.3,0.87,0.72,0.19,0.68,0.2,0.68,0.42,0.57
pi-qmc.csv,0.88,0.45,0.48,0.39,0.36,0.41,0.81,0.5,0.8,0.82,0.49,0.63
trinitycore.csv,0.62,0.81,0.16,0.52,0.32,0.21,0.12,0.27,0.73,0.55,0.6,0.07
twostep.csv,0.62,0.84,1.0,0.96,0.71,0.83,0.88,0.86,0.67,0.73,0.75,0.83
