,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.26,0.2,0.29,0.49,0.41,0.31,0.5,0.55,0.08,0.44,0.25,0.31
gamestone.csv,0.67,0.32,0.0,0.06,0.08,0.12,0.31,0.15,0.3,0.17,0.13,0.1
geochat.csv,0.0,0.26,0.05,0.48,0.46,0.27,0.39,0.29,0.2,0.22,0.25,0.47
igarden.csv,0.22,0.5,0.28,0.5,0.49,0.51,0.19,0.48,0.36,0.45,0.43,0.22
ingex.csv,0.15,0.4,0.32,0.33,0.64,0.59,0.5,0.36,0.18,0.45,0.4,0.33
lphant.csv,0.35,0.24,0.32,0.28,0.46,0.56,0.59,0.77,0.32,0.56,0.38,0.34
nabu-library.csv,0.29,0.39,0.28,0.21,0.84,0.54,0.0,0.16,0.0,0.32,0.34,0.25
nebuladevice.csv,0.14,0.33,0.0,0.35,0.53,0.19,0.07,0.07,0.47,0.43,0.4,0.0
owlapi.csv,0.0,0.25,0.51,0.29,0.65,0.54,0.31,0.45,0.19,0.42,0.28,0.37
pi-qmc.csv,0.48,0.36,0.3,0.32,0.47,0.42,0.58,0.45,0.3,0.72,0.31,0.38
trinitycore.csv,0.29,0.5,0.14,0.32,0.44,0.26,0.15,0.41,0.38,0.47,0.45,0.1
twostep.csv,0.36,0.51,0.29,0.44,0.56,0.53,0.82,0.56,0.29,0.6,0.39,0.38
