,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.87,0.89,0.58,0.5,0.7,0.55,0.58,0.4,0.91,0.9,0.75,0.58
gamestone.csv,0.56,0.53,0.96,0.9,0.86,0.8,0.59,0.75,0.47,0.5,0.96,0.91
geochat.csv,0.83,0.54,0.94,0.63,0.63,0.96,0.52,0.92,0.64,0.6,0.86,0.68
igarden.csv,0.7,0.47,0.89,0.48,0.56,0.37,0.8,0.42,0.92,0.78,0.5,0.72
ingex.csv,0.8,0.53,0.64,0.54,0.62,0.48,0.67,0.5,0.78,0.61,0.61,0.88
lphant.csv,0.54,0.54,0.46,0.37,0.43,0.35,0.33,0.44,0.46,0.59,0.45,0.49
nabu-library.csv,0.75,0.44,0.97,0.96,0.53,0.34,0.0,0.93,0.9,0.89,0.57,0.94
nebuladevice.csv,0.67,0.92,0.5,0.6,0.74,0.92,0.96,0.88,0.56,0.8,0.63,0.88
owlapi.csv,0.95,0.96,0.6,0.65,0.6,0.47,0.83,0.41,0.94,0.57,0.62,0.59
pi-qmc.csv,0.48,0.57,0.44,0.41,0.5,0.5,0.35,0.48,0.35,0.54,0.54,0.39
trinitycore.csv,0.46,0.33,0.97,0.47,0.6,0.76,0.92,0.86,0.42,0.59,0.54,0.89
twostep.csv,0.55,0.37,0.46,0.34,0.55,0.32,0.43,0.35,0.4,0.52,0.42,0.38
