,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.66,0.5,0.27,0.4,0.57,0.48,0.63,0.24,0.01,0.42,0.38,0.53,0.65,0.65,0.51,0.58,0.52,0.26,0.55
amygdala.csv,0.62,0.1,0.19,0.05,0.19,0.35,0.55,0.27,0.0,0.36,0.27,0.67,0.25,0.63,0.42,0.42,0.6,0.54,0.0
awemud.csv,0.72,0.77,0.27,0.34,0.78,0.65,0.56,0.29,0.02,0.0,0.29,0.45,0.57,0.7,0.6,0.55,0.58,0.52,0.58
bullet.csv,0.77,0.68,0.27,0.68,0.68,0.82,0.48,0.23,0.02,0.0,0.2,0.72,0.35,0.2,0.53,0.69,0.21,0.52,0.61
customwars.csv,0.68,0.47,0.23,0.7,0.4,0.51,0.45,0.19,0.02,0.0,0.36,0.35,0.64,0.51,0.64,0.6,0.29,0.43,0.54
dvd-create.csv,0.59,0.75,0.29,0.26,0.86,0.7,0.5,0.34,0.01,0.15,0.26,0.66,0.3,0.67,0.52,0.73,0.64,0.54,0.59
gbif-indexingtoolkit.csv,0.82,0.74,0.31,0.37,0.88,0.4,0.54,0.42,0.0,0.15,0.27,0.58,0.47,0.44,0.44,0.56,0.54,0.7,0.54
go.csv,0.73,0.81,0.38,0.27,0.6,0.72,0.62,0.26,0.01,0.0,0.26,0.66,0.56,0.71,0.68,0.64,0.59,0.86,0.65
growl-for-windows.csv,0.77,0.0,0.24,0.0,0.03,0.0,0.59,0.23,0.0,0.0,0.26,0.72,0.0,0.23,0.41,0.7,0.21,0.79,0.08
gss.csv,0.81,0.72,0.38,0.72,0.72,0.81,0.57,0.27,0.01,0.0,0.26,0.67,0.54,0.72,0.73,0.74,0.62,0.62,0.6
kwave.csv,0.77,0.78,0.47,0.4,0.89,0.71,0.55,0.28,0.01,0.0,0.24,0.59,0.47,0.71,0.77,0.69,0.65,0.61,0.59
libarchive.csv,0.82,0.82,0.26,0.28,0.76,0.81,0.58,0.31,0.01,0.38,0.25,0.73,0.55,0.75,0.77,0.66,0.64,0.83,0.61
linux-ntfs.csv,0.65,0.64,0.31,0.58,0.8,0.76,0.37,0.29,0.02,0.33,0.3,0.57,0.53,0.63,0.63,0.75,0.69,0.54,0.55
lsb.csv,0.73,0.57,0.23,0.71,0.84,0.77,0.47,0.34,0.01,0.0,0.26,0.61,0.63,0.59,0.56,0.72,0.65,0.72,0.57
mpgravity.csv,0.84,0.73,0.28,0.33,0.85,0.79,0.51,0.31,0.0,0.64,0.26,0.7,0.0,0.79,0.76,0.75,0.64,0.77,0.61
qcad2.csv,0.5,0.28,0.22,0.11,0.13,0.48,0.56,0.25,0.01,0.36,0.35,0.42,0.68,0.62,0.69,0.66,0.66,0.57,0.54
qtwin.csv,0.18,0.0,0.0,0.0,0.0,0.08,0.15,0.27,0.05,0.22,0.19,0.14,0.2,0.54,0.43,0.28,0.4,0.05,0.0
roller.csv,0.82,0.81,0.37,0.31,0.84,0.81,0.52,0.33,0.0,0.33,0.3,0.65,0.45,0.75,0.67,0.71,0.59,0.78,0.58
xinity.csv,0.42,0.7,0.4,0.21,0.65,0.5,0.28,0.33,0.0,0.37,0.25,0.42,0.42,0.5,0.72,0.54,0.44,0.71,0.42
