,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.0,2.0,2.0,9.0,0.0,2.0,0.0,4.0,366.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
amygdala.csv,1.0,0.0,1.0,23.0,0.0,0.0,11.0,4.0,846.0,3.0,1.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,116.0
awemud.csv,2.0,0.0,1.0,8.0,0.0,0.0,4.0,0.0,186.0,52.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
bullet.csv,2.0,1.0,4.0,1.0,0.0,0.0,5.0,0.0,32.0,52.0,17.0,1.0,20.0,6.0,0.0,0.0,0.0,3.0,4.0
customwars.csv,0.0,1.0,5.0,0.0,0.0,2.0,3.0,6.0,47.0,52.0,0.0,1.0,10.0,0.0,0.0,2.0,1.0,1.0,0.0
dvd-create.csv,2.0,3.0,7.0,1.0,0.0,0.0,27.0,5.0,979.0,0.0,20.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,5.0
gbif-indexingtoolkit.csv,2.0,4.0,0.0,1.0,0.0,2.0,10.0,0.0,1660.0,0.0,18.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0
go.csv,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,540.0,52.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
growl-for-windows.csv,0.0,123.0,4.0,181.0,0.0,87.0,6.0,6.0,2488.0,52.0,20.0,0.0,367.0,1.0,0.0,0.0,0.0,0.0,0.0
gss.csv,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,530.0,52.0,18.0,7.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
kwave.csv,1.0,4.0,0.0,1.0,0.0,4.0,6.0,5.0,1010.0,52.0,18.0,2.0,72.0,1.0,0.0,0.0,0.0,0.0,6.0
libarchive.csv,1.0,0.0,0.0,18.0,0.0,0.0,11.0,2.0,979.0,7.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
linux-ntfs.csv,2.0,1.0,0.0,3.0,1.0,0.0,10.0,2.0,7.0,14.0,8.0,1.0,14.0,6.0,0.0,0.0,0.0,1.0,2.0
lsb.csv,1.0,3.0,0.0,0.0,0.0,2.0,4.0,2.0,522.0,52.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0
mpgravity.csv,2.0,0.0,3.0,1.0,0.0,0.0,11.0,2.0,2488.0,0.0,1.0,2.0,367.0,0.0,0.0,0.0,0.0,0.0,5.0
qcad2.csv,4.0,1.0,0.0,5.0,0.0,1.0,7.0,1.0,465.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
qtwin.csv,0.0,123.0,71.0,181.0,91.0,2.0,0.0,4.0,29.0,4.0,1.0,1.0,2.0,0.0,0.0,1.0,5.0,1.0,116.0
roller.csv,1.0,2.0,0.0,0.0,0.0,2.0,27.0,2.0,1424.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0
xinity.csv,2.0,4.0,0.0,1.0,0.0,2.0,10.0,1.0,1606.0,2.0,8.0,2.0,3.0,3.0,0.0,4.0,0.0,0.0,6.0
