,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.74,0.44,0.8,0.67,0.72,0.52,0.32,0.44,0.14,0.72,0.57
ivef-sdk.csv,0.65,0.51,1.0,0.67,0.5,0.38,0.21,0.57,0.18,0.0,0.23
jaolt.csv,0.71,0.48,0.18,0.64,0.71,0.47,0.15,0.62,0.05,0.6,0.48
jmule.csv,0.69,0.44,0.16,0.51,0.77,0.55,0.55,0.44,0.08,0.62,0.84
jstock.csv,0.57,0.48,0.21,0.61,0.48,0.48,0.69,0.56,0.11,0.76,0.14
lphant.csv,0.78,0.49,0.21,0.65,0.76,0.65,0.44,0.54,0.16,0.57,0.61
novembre.csv,0.45,0.61,0.0,0.41,0.55,0.38,0.3,0.08,0.04,0.0,0.55
oorexx.csv,0.53,0.43,0.08,0.3,0.55,0.37,0.46,0.58,0.09,0.73,0.58
pi-qmc.csv,0.71,0.49,0.12,0.34,0.76,0.58,0.33,0.75,0.1,0.59,0.64
qedo.csv,0.18,0.15,0.93,0.15,0.18,0.2,0.27,0.11,0.37,0.35,0.3
yaprm.csv,0.74,0.49,0.21,0.68,0.25,0.31,0.32,0.49,0.19,0.65,0.52
