,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.79,0.39,0.8,0.94,0.52,0.6,0.52,0.67,0.0,0.54,0.0
elateportal.csv,0.56,0.46,0.66,0.43,0.51,0.48,0.62,0.68,0.26,0.4,0.31
etics.csv,0.92,0.95,0.47,0.65,0.56,0.67,0.9,0.71,0.83,0.94,0.5
lockss.csv,0.88,0.53,0.67,0.48,0.9,0.4,0.48,0.37,0.52,0.34,0.67
pcgen.csv,0.41,0.31,0.42,0.44,0.44,0.5,0.36,0.56,0.26,0.35,0.31
personalaccess.csv,0.67,0.68,0.86,0.38,0.69,0.43,0.68,0.36,0.94,0.33,0.67
pydev.csv,0.64,0.38,0.47,0.59,0.41,0.72,0.43,0.46,0.86,0.52,0.75
rhex.csv,0.52,0.49,0.67,0.7,0.58,0.47,0.97,0.5,0.3,0.58,0.89
stuproa-cims.csv,0.86,0.34,0.88,0.42,0.37,0.4,0.72,0.63,0.43,0.46,0.75
uclmda.csv,0.92,0.0,0.88,0.86,0.89,0.0,0.91,0.93,0.27,0.88,0.67
wgs-assembler.csv,0.68,0.5,0.89,0.61,0.53,0.5,0.87,0.46,0.5,0.42,0.0
