,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.42,0.64,0.23,0.22,0.71,0.55,0.47,0.33,0.0,0.61,0.02
elateportal.csv,0.58,0.51,0.38,0.67,0.79,0.55,0.42,0.43,0.99,0.64,0.95
etics.csv,0.25,0.21,0.85,0.4,0.43,0.0,0.11,0.26,0.02,0.19,0.05
lockss.csv,0.33,0.44,0.46,0.51,0.21,0.64,0.36,0.68,0.41,0.83,0.27
pcgen.csv,0.83,1.0,0.85,0.71,1.0,0.36,0.89,0.41,1.0,1.0,0.95
personalaccess.csv,0.25,0.28,0.38,0.76,0.29,0.5,0.27,0.8,0.09,0.78,0.07
pydev.csv,0.42,0.59,0.62,0.44,0.71,0.41,0.65,0.46,0.01,0.64,0.07
rhex.csv,0.92,0.46,0.0,0.4,0.36,0.82,0.18,0.5,0.84,0.5,0.09
stuproa-cims.csv,0.25,0.67,0.23,0.65,0.57,0.73,0.64,0.27,0.55,0.56,0.07
uclmda.csv,0.17,0.0,0.08,0.07,0.0,0.0,0.02,0.08,0.99,0.03,0.05
wgs-assembler.csv,0.33,0.51,0.31,0.42,0.71,0.55,0.22,0.61,0.45,0.64,0.0
