,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.3,0.6,0.17,0.23,0.28,0.41,0.58,0.24,0.17,0.51,0.0
elateportal.csv,0.4,0.49,0.64,0.35,0.74,0.35,0.31,0.36,1.0,0.86,0.0
etics.csv,0.12,0.17,0.19,0.11,0.28,0.03,0.03,0.12,0.5,0.13,0.0
lockss.csv,0.15,0.37,0.07,0.2,0.1,0.3,0.43,0.28,0.33,0.72,0.0
pcgen.csv,0.89,0.96,0.93,0.25,1.0,0.28,0.99,0.2,1.0,1.0,0.5
personalaccess.csv,0.0,0.2,0.05,0.32,0.13,0.41,0.27,0.24,0.33,0.68,0.0
pydev.csv,0.21,0.46,0.26,0.16,0.35,0.29,0.73,0.28,0.83,0.33,0.17
rhex.csv,0.27,0.36,0.07,0.3,0.38,0.83,0.14,0.36,0.17,0.39,0.83
stuproa-cims.csv,0.05,0.54,0.12,0.28,0.4,0.42,0.22,0.08,0.5,0.43,0.17
uclmda.csv,0.12,0.01,0.17,0.04,0.13,0.01,0.07,0.16,0.0,0.1,0.17
wgs-assembler.csv,0.19,0.31,0.12,0.1,0.38,0.28,0.18,0.28,0.5,0.62,0.0
