,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.46,0.57,0.27,0.26,0.71,0.56,0.46,0.37,0.0,0.58,0.02
elateportal.csv,0.58,0.51,0.38,0.67,0.56,0.57,0.46,0.46,0.0,0.37,0.96
etics.csv,0.29,0.25,0.84,0.45,0.47,0.0,0.13,0.3,0.02,0.23,0.06
lockss.csv,0.38,0.47,0.51,0.55,0.25,0.65,0.39,0.69,0.44,0.6,0.32
pcgen.csv,0.36,0.17,0.26,0.72,0.0,0.4,0.05,0.45,0.0,0.0,0.81
personalaccess.csv,0.29,0.32,0.43,0.74,0.33,0.52,0.31,0.79,0.11,0.61,0.09
pydev.csv,0.46,0.58,0.64,0.49,0.7,0.45,0.51,0.5,0.01,0.65,0.09
rhex.csv,0.87,0.49,0.0,0.44,0.39,0.46,0.21,0.52,0.84,0.52,0.1
stuproa-cims.csv,0.29,0.61,0.27,0.66,0.58,0.69,0.66,0.31,0.54,0.56,0.09
uclmda.csv,0.2,0.0,0.1,0.09,0.0,0.0,0.02,0.1,0.99,0.04,0.06
wgs-assembler.csv,0.37,0.54,0.36,0.47,0.69,0.58,0.26,0.63,0.46,0.56,0.0
