,owlib.csv,xharbour.csv,prelude.csv,graphmak.csv,octave.csv,checker-framework.csv,zengine.csv,zildo.csv,opengs.csv,tokratan.csv,jmol.csv,minig.csv,moving-pictures.csv,zabbix.csv,xfce.csv,ngl.csv,mesa3d.csv,nunit.csv,elvishrayrenderer.csv
checker-framework.csv,0.94,0.86,0.76,0.96,0.95,0.24,0.93,0.82,0.81,0.91,0.97,0.78,0.97,0.98,0.87,0.91,0.86,0.79,0.9
elvishrayrenderer.csv,0.72,0.88,1.0,0.51,0.69,0.57,0.65,0.56,0.64,0.58,0.79,0.57,0.93,0.87,0.91,0.78,0.61,0.41,0.34
graphmak.csv,0.88,0.83,1.03,0.35,0.87,0.92,0.71,0.63,0.6,0.73,0.83,0.77,0.97,0.83,0.76,0.79,0.9,0.86,0.88
jmol.csv,0.8,1.0,0.43,0.99,0.63,0.79,1.0,0.96,0.77,0.93,0.54,0.87,0.76,0.52,1.0,0.83,1.0,0.87,0.71
mesa3d.csv,0.75,0.54,0.86,0.77,0.5,0.95,0.53,0.66,0.84,0.56,0.65,0.57,0.69,0.95,0.5,0.56,0.55,0.71,0.69
minig.csv,0.84,0.92,1.0,1.0,0.89,0.58,1.03,0.95,0.98,0.62,1.0,0.41,1.01,0.66,0.92,0.9,0.82,0.95,0.83
moving-pictures.csv,0.68,0.36,0.98,0.63,0.68,0.69,0.79,0.87,0.62,0.85,0.82,0.72,0.46,0.68,0.97,0.59,0.99,0.66,0.71
ngl.csv,0.76,1.0,1.01,0.59,0.71,0.84,0.93,0.72,0.73,0.66,0.91,0.73,0.79,0.96,0.86,0.5,0.82,0.63,0.79
nunit.csv,0.7,0.63,0.69,0.59,0.69,0.56,0.82,0.74,0.59,0.89,0.73,0.63,0.78,0.58,0.91,0.83,0.84,0.42,0.76
octave.csv,0.71,0.84,0.65,0.91,0.51,0.84,0.67,0.89,0.88,0.94,0.67,0.69,0.7,0.86,0.77,0.83,0.82,0.72,0.76
opengs.csv,0.75,0.47,0.93,0.65,0.91,0.93,0.58,0.76,0.36,0.63,0.89,0.82,0.66,0.64,0.57,0.84,0.67,0.73,0.6
owlib.csv,0.47,0.64,0.55,0.54,0.59,0.4,0.58,0.5,0.76,0.44,0.58,0.45,0.85,0.76,0.56,0.58,0.55,0.61,0.62
prelude.csv,1.0,1.0,0.25,1.0,0.87,0.75,0.51,0.98,0.88,0.89,0.91,0.8,0.94,0.94,0.69,0.89,0.74,0.9,0.79
tokratan.csv,0.66,0.74,0.83,0.89,0.92,0.56,0.46,0.55,0.82,0.4,0.64,0.74,0.7,0.39,0.59,0.63,0.74,0.62,0.61
xfce.csv,0.59,0.76,0.71,0.71,0.6,0.47,0.71,0.67,0.74,0.69,0.78,0.68,0.68,1.0,0.5,0.57,0.68,0.56,0.91
xharbour.csv,0.99,0.25,0.79,0.77,0.65,0.67,0.75,0.71,1.0,0.91,1.0,0.86,0.62,0.97,0.71,0.83,0.93,0.83,0.6
zabbix.csv,0.65,0.43,0.67,0.64,0.78,0.71,0.53,0.86,0.65,0.62,0.8,0.71,0.79,0.61,0.6,0.72,0.7,0.74,0.7
zengine.csv,0.98,0.43,0.48,0.96,0.98,0.85,0.18,0.93,0.87,0.98,0.87,0.93,0.97,0.86,0.61,0.9,0.58,0.92,0.94
zildo.csv,0.73,1.0,0.41,0.9,0.61,0.48,0.48,0.39,0.95,0.51,0.63,0.68,0.75,0.59,0.55,0.63,0.65,0.75,0.75
