,owlib.csv,xharbour.csv,prelude.csv,graphmak.csv,octave.csv,checker-framework.csv,zengine.csv,zildo.csv,opengs.csv,tokratan.csv,jmol.csv,minig.csv,moving-pictures.csv,zabbix.csv,xfce.csv,ngl.csv,mesa3d.csv,nunit.csv,elvishrayrenderer.csv
checker-framework.csv,0.93,0.82,0.26,1.0,0.91,0.92,0.87,0.82,0.93,1.0,0.83,0.78,0.96,0.98,0.84,0.93,0.84,0.88,0.85
elvishrayrenderer.csv,0.35,0.52,1.0,0.88,0.55,0.54,0.5,0.8,0.67,0.6,0.9,0.54,0.68,0.14,0.8,0.34,0.55,0.7,0.68
graphmak.csv,0.78,0.17,0.76,0.72,0.64,0.08,0.42,0.52,0.81,0.6,0.72,0.63,0.93,0.83,0.31,0.82,0.26,0.15,0.71
jmol.csv,0.83,1.0,0.76,0.88,0.73,1.0,0.97,0.89,0.8,0.87,0.75,0.87,0.39,0.49,0.98,0.78,1.0,0.78,0.65
mesa3d.csv,0.3,0.61,0.14,0.24,0.64,0.23,0.47,0.52,0.26,0.6,0.43,0.61,0.39,0.17,0.75,0.65,0.54,0.32,0.59
minig.csv,0.49,0.38,0.93,0.0,0.45,0.54,0.76,0.05,0.02,0.47,0.97,0.72,0.86,0.57,0.42,0.56,0.32,0.05,0.59
moving-pictures.csv,0.33,0.75,0.02,0.4,0.36,0.38,0.21,0.7,0.83,0.67,0.2,0.46,0.68,0.32,0.03,0.48,0.01,0.57,0.44
ngl.csv,0.83,0.93,0.88,0.84,0.73,0.85,0.87,0.77,0.94,0.73,0.94,0.83,0.82,0.86,0.14,0.62,0.19,0.72,0.68
nunit.csv,0.5,0.75,0.74,0.52,0.45,0.62,0.66,0.7,0.61,0.13,0.67,0.5,0.75,0.43,0.09,0.35,0.16,0.68,0.38
octave.csv,0.46,0.28,0.36,0.12,0.55,0.31,0.47,0.25,0.85,0.07,0.49,0.54,0.46,0.15,0.25,0.21,0.19,0.72,0.29
opengs.csv,0.3,0.71,0.07,0.48,0.09,0.08,0.45,0.34,0.74,0.4,0.13,0.43,0.39,0.55,0.59,0.16,0.59,0.42,0.44
owlib.csv,0.69,0.72,0.45,0.8,0.68,0.69,0.53,0.75,0.61,0.73,0.74,0.76,0.89,0.55,0.52,0.53,0.59,0.68,0.74
prelude.csv,0.99,0.99,0.83,1.0,0.86,0.92,0.89,0.95,1.0,0.8,0.98,0.87,0.96,0.91,0.86,0.87,0.93,0.88,0.85
tokratan.csv,0.57,0.98,0.17,0.72,0.09,0.46,0.82,0.82,0.19,0.67,0.47,0.37,0.39,0.63,0.64,0.54,0.83,0.52,0.59
xfce.csv,0.74,0.59,0.29,0.84,0.55,0.69,0.5,0.8,0.89,0.4,0.56,0.78,0.71,0.63,0.7,0.72,0.71,0.72,0.53
xharbour.csv,0.99,0.77,0.36,0.92,0.55,0.77,0.92,0.8,1.0,0.87,1.0,0.78,0.57,0.71,0.78,0.8,0.87,0.78,0.68
zabbix.csv,0.48,0.62,0.33,0.6,0.32,0.54,0.47,0.75,0.52,0.6,0.25,0.63,0.25,0.4,0.56,0.84,0.62,0.57,0.79
zengine.csv,0.94,0.92,0.83,0.96,1.0,0.85,0.82,1.0,0.85,1.0,0.92,0.96,0.96,0.97,0.72,0.94,0.68,0.9,1.0
zildo.csv,0.83,0.95,0.6,0.88,0.45,0.62,0.55,0.68,0.06,0.53,0.54,0.35,0.29,0.71,0.6,0.38,0.65,0.3,0.79
