,bacula.csv,fltk.csv,pfaedit.csv,patterntesting.csv,gzigzag.csv,enlightenment.csv,blue-c.csv,aufs.csv,sylpheed-claws.csv,ogrehg.csv,genecys.csv,freewrl.csv,roller.csv,pgui.csv,jparsec.csv,xbg.csv,lportal.csv,genoviz.csv
aufs.csv,0.97,0.61,0.71,0.79,0.95,0.59,0.48,0.46,0.76,0.6,0.69,0.76,0.88,0.98,0.9,0.85,0.99,0.85
bacula.csv,0.57,0.71,0.53,0.62,0.63,0.6,0.6,0.75,0.68,0.68,0.41,0.69,0.95,0.67,1.0,0.72,0.95,0.82
blue-c.csv,0.66,0.79,0.54,0.43,0.71,0.76,0.23,0.75,0.75,0.64,0.79,0.68,0.9,0.71,1.0,0.65,0.94,0.58
enlightenment.csv,0.58,1.0,1.0,1.0,0.99,0.5,1.0,1.0,0.6,1.0,1.0,0.96,1.0,0.5,1.0,1.0,1.0,0.98
fltk.csv,0.55,0.42,0.5,0.7,0.72,0.61,0.41,0.6,0.6,0.46,0.36,0.81,0.95,0.49,0.94,0.68,0.89,0.53
freewrl.csv,1.0,0.76,0.97,0.53,0.67,0.96,0.96,1.0,0.99,0.74,0.89,0.46,0.6,0.99,0.72,0.9,0.66,0.67
genecys.csv,0.94,0.82,0.73,0.87,0.57,0.73,0.65,0.85,0.98,0.71,0.39,0.64,0.94,0.92,0.82,0.93,0.74,0.63
genoviz.csv,0.66,0.9,0.7,0.97,0.58,0.95,0.93,0.9,0.89,0.86,0.75,0.96,0.77,0.66,0.98,0.65,0.78,0.04
gzigzag.csv,0.65,0.7,0.37,0.57,0.54,0.81,0.5,0.53,0.57,0.65,0.52,0.59,0.5,0.54,0.6,0.58,0.57,0.7
jparsec.csv,0.94,0.57,0.61,0.42,0.67,1.0,0.92,0.65,0.82,0.72,0.49,0.82,0.66,1.0,0.42,0.37,0.5,0.93
lportal.csv,0.62,0.93,0.96,0.97,0.79,0.74,1.0,0.97,0.77,0.88,1.0,1.0,0.56,0.62,0.98,0.88,0.33,0.8
ogrehg.csv,0.54,0.48,0.44,0.51,0.62,0.68,0.44,0.68,0.6,0.42,0.35,0.61,0.68,0.48,0.94,0.67,0.65,0.71
patterntesting.csv,0.78,0.82,0.89,0.4,0.91,0.94,0.6,0.98,0.94,0.77,0.89,0.92,0.98,0.85,1.0,0.97,0.86,0.91
pfaedit.csv,0.92,0.62,0.33,0.57,0.71,0.63,0.4,0.54,0.81,0.53,0.39,1.0,0.76,0.85,0.87,0.78,0.7,0.58
pgui.csv,0.62,0.99,1.0,1.0,0.84,1.0,0.96,0.76,1.0,1.0,1.0,1.0,0.57,0.4,0.91,0.98,1.0,0.98
roller.csv,0.92,0.94,0.76,0.52,0.75,0.95,0.76,0.99,0.99,0.89,1.0,0.78,0.33,0.88,0.7,0.59,0.56,0.8
sylpheed-claws.csv,0.69,0.75,0.97,0.41,0.71,0.77,1.0,1.0,0.44,0.92,1.0,0.4,0.72,0.63,0.7,0.9,0.65,0.93
xbg.csv,0.83,0.9,0.84,0.72,0.77,0.75,0.7,0.94,0.86,0.79,0.67,1.0,0.86,0.75,0.96,0.25,0.93,0.82
