,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,vrjuggler.csv,gretl.csv,plplot.csv,alleg.csv,buddata-ebxml-registry.csv
alleg.csv,0.79,0.74,0.7,0.6,0.58,0.79,0.83,0.78,1.0,0.47,0.78,0.79,0.78,0.97,0.64,0.87,0.46,0.57
buddata-ebxml-registry.csv,1.0,0.73,1.0,0.97,0.62,0.83,0.78,0.99,0.96,0.92,0.9,0.98,1.0,0.92,0.97,0.98,1.0,0.06
co-ode-owl-plugins.csv,0.57,0.68,0.55,0.48,0.69,0.5,0.74,0.6,0.77,0.35,0.78,0.92,0.59,0.94,0.65,0.7,0.81,0.66
firebreath.csv,0.56,0.62,0.87,0.55,0.51,0.53,0.53,0.49,0.64,0.93,0.79,0.52,0.67,0.92,0.48,0.51,0.76,0.75
gretl.csv,0.93,0.48,0.59,0.43,0.5,0.95,0.82,0.67,0.73,0.58,0.8,0.97,0.51,0.83,0.49,0.52,0.62,0.27
konversation.csv,0.84,0.66,0.75,0.31,0.63,0.65,0.64,0.46,0.68,0.86,0.92,0.6,0.63,0.79,0.65,0.64,0.82,0.81
lazarus-ccr.csv,0.38,0.74,0.98,0.99,0.95,0.77,0.76,0.79,0.76,0.46,0.86,0.68,0.55,0.81,1.0,0.78,0.95,0.82
linuxsh.csv,0.84,0.66,0.34,0.84,0.81,0.65,0.7,0.75,0.96,0.38,0.97,0.84,0.97,1.0,0.85,0.86,0.84,0.68
migen.csv,0.85,0.59,0.66,0.45,0.56,0.52,0.48,0.67,0.95,0.33,0.61,0.68,0.96,0.94,0.72,0.81,0.86,0.67
moviesandbox.csv,0.71,0.78,0.45,0.46,0.58,0.44,0.6,0.72,0.92,0.41,0.46,0.74,0.74,0.94,0.79,0.8,0.79,0.79
mvnforum.csv,0.96,0.77,0.77,1.01,0.59,0.84,0.72,0.71,0.95,0.4,0.55,0.81,0.49,0.77,0.85,0.86,0.86,0.8
ontomorphtab.csv,0.71,0.39,1.0,0.8,0.68,0.89,0.67,0.85,0.84,1.05,0.86,0.6,0.69,0.97,0.64,0.45,0.98,0.6
opengs.csv,0.83,0.83,0.62,0.37,0.46,0.58,0.82,0.61,0.86,0.83,0.37,0.61,0.81,1.0,0.62,0.64,0.74,0.78
plplot.csv,0.41,0.55,0.96,0.56,0.67,0.6,0.62,0.55,0.63,1.07,0.94,0.68,0.83,0.9,0.6,0.41,0.98,0.53
scite-ru.csv,0.96,0.68,0.73,0.57,0.54,0.78,0.82,0.71,0.55,0.76,0.66,0.98,0.97,0.82,0.57,0.68,0.69,0.56
tokratan.csv,0.78,0.67,0.69,0.47,0.48,0.55,0.54,0.72,0.91,0.9,0.74,0.58,0.67,0.73,0.48,0.51,0.71,0.54
vrjuggler.csv,0.59,0.51,1.0,0.51,0.96,0.73,0.92,0.93,0.82,0.89,0.96,0.87,0.81,0.62,0.83,1.0,0.82,0.7
xuggle.csv,0.55,0.62,0.77,0.46,0.36,0.64,0.55,0.6,0.5,0.8,0.48,0.4,0.72,0.93,0.53,0.59,0.63,0.51
