,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,vrjuggler.csv,gretl.csv,plplot.csv,alleg.csv,buddata-ebxml-registry.csv
alleg.csv,0.41,0.71,0.2,0.29,0.16,0.57,0.35,0.41,0.0,0.27,0.45,0.09,0.25,0.07,0.85,0.18,0.76,0.97
buddata-ebxml-registry.csv,0.46,0.66,0.17,0.12,0.15,0.6,0.48,0.39,0.3,0.17,0.39,0.11,0.29,0.2,0.83,0.26,0.62,1.0
co-ode-owl-plugins.csv,0.56,0.64,0.23,0.25,0.12,0.69,0.42,0.48,0.56,0.55,0.46,0.09,0.36,0.25,0.89,0.3,0.56,0.95
firebreath.csv,0.63,0.82,0.19,0.17,0.17,0.67,0.56,0.54,0.5,0.08,0.42,0.17,0.33,0.11,0.91,0.5,0.61,1.0
gretl.csv,0.46,0.76,0.22,0.22,0.18,0.55,0.47,0.41,0.3,0.24,0.42,0.11,0.41,0.16,0.9,0.39,0.67,1.0
konversation.csv,0.67,0.86,0.21,0.36,0.25,0.8,0.56,0.57,0.32,0.14,0.31,0.15,0.35,0.22,0.9,0.47,0.53,1.0
lazarus-ccr.csv,0.69,0.6,0.17,0.05,0.09,0.51,0.43,0.36,0.26,0.32,0.31,0.12,0.39,0.23,0.82,0.26,0.6,0.94
linuxsh.csv,0.44,0.68,0.36,0.14,0.24,0.6,0.52,0.48,0.2,0.35,0.41,0.09,0.09,0.0,0.88,0.43,0.68,0.95
migen.csv,0.36,0.83,0.29,0.23,0.28,0.73,0.61,0.52,1.0,0.38,0.49,0.12,0.12,0.14,0.91,0.44,0.53,0.96
moviesandbox.csv,0.47,0.64,0.32,0.2,0.16,0.73,0.53,0.4,0.2,0.35,0.59,0.11,0.3,0.33,0.89,0.23,0.59,0.94
mvnforum.csv,1.0,0.62,0.18,0.0,0.15,0.56,0.52,0.49,0.25,0.52,0.55,0.08,0.46,0.18,0.81,0.24,0.57,0.93
ontomorphtab.csv,0.46,0.85,0.17,0.13,0.15,0.58,0.5,0.4,0.3,0.07,0.42,0.14,0.3,0.17,0.87,0.42,0.61,0.96
opengs.csv,1.0,0.86,0.21,0.35,0.25,0.64,0.38,0.48,0.6,1.0,0.65,0.14,0.25,0.0,0.92,0.47,0.61,1.0
plplot.csv,0.67,0.72,0.17,0.17,0.14,0.64,0.5,0.49,0.36,0.06,0.41,0.13,0.31,0.15,0.87,0.62,0.61,0.97
scite-ru.csv,0.47,0.69,0.2,0.16,0.17,0.6,0.46,0.4,0.56,0.19,0.49,0.11,0.26,0.22,0.88,0.32,0.63,0.96
tokratan.csv,0.5,0.72,0.18,0.26,0.25,0.66,0.57,0.42,0.4,0.14,0.88,0.19,0.32,0.21,0.9,0.38,0.62,0.97
vrjuggler.csv,0.57,0.86,0.0,0.35,0.25,0.68,0.33,0.67,0.33,0.5,0.67,0.22,0.29,0.27,0.87,0.0,0.8,1.0
xuggle.csv,0.57,0.75,0.18,0.28,0.31,0.61,0.58,0.46,0.43,0.14,0.57,0.22,0.33,0.1,0.89,0.33,0.67,0.97
