,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,vrjuggler.csv,gretl.csv,plplot.csv,alleg.csv,buddata-ebxml-registry.csv
alleg.csv,0.43,0.41,0.32,0.34,0.24,0.67,0.37,0.31,0.0,0.4,0.61,0.14,0.29,0.06,0.77,0.19,0.76,0.65
buddata-ebxml-registry.csv,0.63,0.73,0.29,0.22,0.25,0.75,0.62,0.56,0.46,0.3,0.53,0.2,0.45,0.32,0.91,0.41,0.76,0.97
co-ode-owl-plugins.csv,0.59,0.57,0.34,0.35,0.21,0.74,0.44,0.49,0.33,0.6,0.63,0.16,0.48,0.1,0.55,0.33,0.37,0.71
firebreath.csv,0.56,0.54,0.31,0.28,0.28,0.73,0.6,0.6,0.43,0.13,0.55,0.27,0.47,0.14,0.74,0.51,0.63,0.4
gretl.csv,0.61,0.74,0.33,0.34,0.28,0.68,0.62,0.49,0.32,0.37,0.54,0.2,0.52,0.2,0.8,0.48,0.67,0.84
konversation.csv,0.27,0.49,0.24,0.49,0.3,0.5,0.47,0.61,0.37,0.15,0.14,0.23,0.41,0.24,0.54,0.42,0.35,0.32
lazarus-ccr.csv,0.72,0.5,0.29,0.08,0.17,0.49,0.52,0.45,0.32,0.42,0.24,0.2,0.54,0.36,0.89,0.37,0.72,0.36
linuxsh.csv,0.54,0.53,0.51,0.15,0.22,0.64,0.42,0.34,0.08,0.47,0.58,0.17,0.07,0.0,0.26,0.21,0.27,0.69
migen.csv,0.37,0.57,0.32,0.34,0.34,0.62,0.63,0.43,0.09,0.51,0.51,0.21,0.08,0.09,0.44,0.27,0.27,0.54
moviesandbox.csv,0.52,0.73,0.42,0.33,0.24,0.73,0.53,0.5,0.13,0.46,0.63,0.2,0.43,0.11,0.36,0.26,0.36,0.83
mvnforum.csv,0.08,0.39,0.3,0.0,0.23,0.67,0.4,0.38,0.08,0.56,0.55,0.13,0.52,0.26,0.76,0.35,0.6,0.53
ontomorphtab.csv,0.46,0.74,0.29,0.23,0.26,0.72,0.62,0.55,0.44,0.11,0.57,0.24,0.39,0.27,0.88,0.54,0.75,0.79
opengs.csv,0.29,0.29,0.3,0.46,0.35,0.68,0.29,0.48,0.23,0.29,0.7,0.23,0.34,0.0,0.56,0.42,0.45,0.37
plplot.csv,0.71,0.69,0.29,0.29,0.24,0.72,0.56,0.6,0.41,0.09,0.57,0.22,0.46,0.24,0.83,0.62,0.74,0.69
scite-ru.csv,0.64,0.78,0.33,0.26,0.29,0.72,0.61,0.51,0.51,0.31,0.63,0.2,0.4,0.34,0.73,0.47,0.6,0.84
tokratan.csv,0.33,0.49,0.26,0.36,0.34,0.66,0.58,0.38,0.15,0.12,0.4,0.27,0.45,0.29,0.81,0.51,0.59,0.68
vrjuggler.csv,0.53,0.64,0.0,0.41,0.07,0.41,0.14,0.12,0.24,0.18,0.07,0.17,0.25,0.35,0.3,0.0,0.3,0.46
xuggle.csv,0.63,0.55,0.3,0.38,0.43,0.65,0.57,0.52,0.51,0.19,0.68,0.35,0.47,0.11,0.72,0.43,0.7,0.7
