,gpsmid.csv,emftriple.csv,bzbyte.csv,fluent-nhibernate.csv,xamj.csv,columba.csv
bzbyte.csv,0.61,0.62,0.4,0.46,0.0,0.0
columba.csv,0.37,0.38,0.36,0.46,0.43,0.48
emftriple.csv,0.93,0.96,0.88,0.89,0.82,0.98
fluent-nhibernate.csv,0.41,0.53,0.41,0.62,0.68,0.74
gpsmid.csv,0.38,0.46,0.33,0.56,0.46,0.44
xamj.csv,0.33,0.42,0.33,0.56,0.51,0.38
