,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,geochat.csv
adaptagrams.csv,0.83,0.82,0.47,0.33,0.37,0.15
aime.csv,0.52,0.85,0.17,0.0,0.5,0.0
badtrinitycore.csv,0.0,0.06,0.4,0.51,0.23,0.36
electric-core.csv,0.7,0.82,0.43,0.25,0.3,0.32
geochat.csv,0.57,0.88,0.23,0.04,0.27,0.45
olsrd.csv,0.76,0.85,0.47,0.28,0.23,0.31
