,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,0.44,0.57,1.0,0.59,1.0,0.88,0.92,0.8,0.94,0.87,0.93,0.69
dsworkbench.csv,0.98,0.34,0.04,0.41,0.15,0.12,0.46,0.0,0.26,0.17,0.21,0.73
gogoego.csv,0.3,0.93,0.1,0.12,0.25,0.06,0.54,0.1,0.45,0.24,0.24,0.38
jpaul.csv,0.42,0.39,0.17,1.0,0.25,0.25,0.62,0.0,0.49,0.22,0.03,1.0
loki-lib.csv,0.6,0.51,0.42,0.76,0.45,0.75,0.92,0.7,0.83,0.74,0.93,0.98
motu.csv,0.34,0.16,0.02,0.35,0.0,0.0,0.92,0.1,0.4,0.26,0.17,0.14
mp-rechnungs-und-kundenverwaltung.csv,0.42,0.23,0.17,0.18,0.05,0.44,0.15,0.4,0.98,0.3,0.62,0.63
rtrt-on-gpu.csv,0.06,0.16,0.47,0.0,0.2,0.06,0.08,1.0,0.28,0.33,0.21,0.02
scenemonitor.csv,0.5,0.63,0.38,0.65,1.0,0.56,0.69,0.6,0.81,0.63,0.55,0.3
xstore.csv,0.58,0.49,0.31,0.65,0.5,0.5,0.92,0.3,0.49,0.96,0.34,0.44
yarp0.csv,0.74,0.73,0.65,1.0,0.65,0.94,0.08,0.0,0.68,0.37,0.28,0.12
zemljanka.csv,0.94,0.94,1.0,0.94,1.0,0.88,0.92,1.0,0.87,1.0,0.52,1.0
