,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.44,0.81,0.48,0.0,0.05,0.11,0.36,0.45,0.35,0.66
aubit4gl.csv,0.1,0.7,0.4,0.18,0.69,0.2,0.44,0.07,0.65,0.24
liferea.csv,0.67,0.2,0.61,0.69,0.33,0.56,0.25,0.58,0.2,0.2
moving-pictures.csv,0.56,0.53,0.67,0.18,0.55,0.34,0.6,0.12,0.28,0.44
opensim4opencog.csv,0.6,0.34,0.62,0.63,0.61,0.66,0.53,0.49,0.53,0.55
plearn.csv,0.65,0.34,0.52,0.51,0.09,0.42,0.41,0.44,0.46,0.4
psrchive.csv,0.64,0.55,0.84,0.49,0.56,0.51,0.52,0.4,0.74,0.37
re2c.csv,0.38,1.0,0.55,0.35,0.32,0.36,0.61,0.34,0.7,0.3
rebecca-aiml.csv,0.5,0.63,0.63,0.64,0.64,0.59,0.57,0.53,0.83,0.63
xfce.csv,0.63,0.35,0.56,0.57,0.54,0.48,0.59,0.66,0.66,0.56
