,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.71,0.68,0.92,0.0,0.5,0.94,0.6,0.52,0.58,0.69
aubit4gl.csv,0.88,0.92,0.86,0.89,0.5,0.95,0.82,0.95,0.57,0.93
liferea.csv,0.45,0.48,0.42,0.48,0.59,0.61,0.75,0.57,0.83,0.6
moving-pictures.csv,0.43,0.4,0.37,0.89,0.35,0.71,0.46,0.95,0.93,0.56
opensim4opencog.csv,0.42,0.32,0.37,0.48,0.3,0.45,0.42,0.39,0.49,0.42
plearn.csv,0.5,0.48,0.51,0.77,0.92,0.63,0.44,0.51,0.59,0.57
psrchive.csv,0.52,0.89,0.52,0.35,0.39,0.63,0.46,0.48,0.56,0.75
re2c.csv,0.76,0.86,0.54,0.65,0.96,0.73,0.46,0.83,0.58,0.88
rebecca-aiml.csv,0.49,0.41,0.35,0.27,0.34,0.45,0.31,0.4,0.6,0.51
xfce.csv,0.49,0.37,0.39,0.55,0.34,0.45,0.33,0.39,0.47,0.48
