,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.44,0.4,0.44,0.0,0.07,0.1,0.42,0.54,0.24,0.55
aubit4gl.csv,0.15,0.44,0.29,0.18,0.7,0.09,0.49,0.11,0.49,0.27
liferea.csv,0.49,0.07,0.31,0.5,0.34,0.35,0.3,0.65,0.22,0.14
moving-pictures.csv,0.46,0.23,0.35,0.18,0.57,0.24,0.62,0.19,0.38,0.34
opensim4opencog.csv,0.49,0.1,0.33,0.47,0.66,0.36,0.54,0.58,0.54,0.35
plearn.csv,0.54,0.1,0.27,0.46,0.12,0.2,0.4,0.53,0.34,0.22
psrchive.csv,0.52,0.4,0.56,0.32,0.68,0.2,0.52,0.71,0.58,0.29
re2c.csv,0.35,0.92,0.27,0.27,0.38,0.13,0.58,0.42,0.52,0.16
rebecca-aiml.csv,0.43,0.23,0.3,0.41,0.69,0.23,0.65,0.61,0.76,0.4
xfce.csv,0.49,0.12,0.26,0.42,0.59,0.21,0.6,0.73,0.5,0.33
