,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.46,0.48,0.0,0.62,0.48,0.49,0.88,0.25,0.15,0.36,0.33,0.17,0.0
avifile.csv,0.16,0.18,0.0,0.33,0.14,0.32,0.06,0.4,0.36,0.36,0.27,0.27,0.85
baadengine.csv,0.18,0.97,0.75,0.98,0.31,0.51,1.0,0.92,1.0,0.68,1.0,0.98,1.0
gdis.csv,0.39,0.37,0.75,0.66,0.69,0.33,0.9,0.79,0.74,1.0,0.35,0.66,0.15
gogoego.csv,0.22,0.46,1.0,0.43,0.24,0.79,0.44,0.29,0.63,0.74,0.95,0.74,0.38
impala.csv,0.14,0.74,0.0,0.35,0.83,0.81,0.46,0.5,0.62,0.36,0.42,0.25,0.54
jgameai.csv,0.0,0.2,0.0,0.06,0.07,0.27,0.69,0.06,0.1,0.0,0.0,0.03,0.31
jhotdraw.csv,0.9,0.75,0.75,0.83,0.97,0.86,0.0,0.97,0.15,0.83,0.25,0.56,0.85
patterntesting.csv,1.0,0.95,1.0,0.98,0.76,0.94,0.85,0.91,0.82,0.21,0.89,0.81,0.38
pokeglobal.csv,0.92,0.95,1.0,0.29,0.28,0.56,1.0,0.44,0.95,0.34,0.8,0.64,1.0
werx.csv,0.99,0.85,0.0,1.0,0.97,0.98,1.0,0.94,1.0,1.0,0.96,0.96,1.0
zealos.csv,0.08,0.08,0.0,0.12,0.0,0.06,0.37,0.06,0.05,0.09,0.07,0.02,0.15
