,lamp.csv,sevenupdate.csv,retromenu.csv,intact.csv,jbpm.csv,rohxel.csv,jpaul.csv,encog-cs.csv,stemkit.csv,panda3d.csv,soar.csv,jchassis.csv,gephex.csv,opendvr.csv,mevenide.csv,thedata.csv
encog-cs.csv,1.0,0.73,0.43,0.93,0.88,1.0,0.88,0.65,1.0,0.65,0.81,1.0,0.86,0.23,0.76,1.0
gephex.csv,0.5,0.59,0.95,0.9,0.73,0.82,0.76,0.48,0.83,0.83,0.0,0.0,0.79,0.91,0.79,1.0
intact.csv,0.36,0.67,0.95,0.67,0.4,0.31,0.65,0.65,0.0,0.15,0.13,0.0,0.42,0.18,0.48,0.25
jbpm.csv,0.0,0.1,0.43,0.0,0.77,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.1,0.25
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0
jpaul.csv,0.0,0.0,0.29,0.0,0.46,0.18,0.82,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.38,0.0
lamp.csv,0.64,0.45,1.0,0.5,0.67,0.64,0.71,0.62,0.83,0.58,0.26,0.0,0.23,0.45,0.48,0.75
mevenide.csv,0.0,0.14,0.52,0.0,0.46,0.0,0.59,0.03,0.0,0.27,0.48,0.5,0.06,0.05,0.79,0.25
opendvr.csv,0.64,0.61,0.67,0.4,0.77,0.31,0.12,0.5,0.0,0.6,0.0,0.0,0.35,0.68,0.28,0.25
panda3d.csv,0.5,0.31,0.43,0.67,0.63,0.26,0.94,0.15,0.0,0.65,0.77,1.0,0.61,0.05,0.72,0.0
retromenu.csv,0.36,0.31,0.86,0.0,0.1,0.05,0.59,0.5,0.0,0.0,0.03,0.0,0.04,0.09,0.14,0.25
rohxel.csv,0.36,0.37,0.43,0.37,0.1,0.67,0.29,0.24,0.33,0.31,0.45,0.0,0.25,0.23,0.17,0.0
sevenupdate.csv,1.0,0.78,0.95,1.0,1.0,1.0,1.0,0.94,1.0,0.94,1.0,1.0,0.93,1.0,1.0,1.0
soar.csv,0.86,0.39,0.52,0.77,0.77,0.77,0.94,0.52,1.0,1.0,0.68,1.0,0.9,0.95,0.86,1.0
stemkit.csv,0.21,0.04,0.24,0.23,0.44,0.21,0.0,0.3,0.67,0.35,0.19,1.0,0.1,0.41,0.14,0.0
thedata.csv,0.86,0.53,0.9,0.5,0.38,0.74,0.71,0.97,0.83,0.52,1.0,0.0,0.76,0.45,0.48,1.0
