,lamp.csv,sevenupdate.csv,retromenu.csv,intact.csv,jbpm.csv,rohxel.csv,jpaul.csv,encog-cs.csv,stemkit.csv,panda3d.csv,soar.csv,jchassis.csv,gephex.csv,opendvr.csv,mevenide.csv,thedata.csv
encog-cs.csv,1.0,0.67,0.44,0.9,0.78,1.0,0.95,0.31,0.96,0.55,0.92,1.0,0.78,0.26,0.62,0.77
gephex.csv,0.71,0.17,0.96,0.93,0.66,0.82,0.61,0.4,0.99,0.84,0.0,0.62,0.37,0.94,0.65,0.97
intact.csv,0.33,0.5,0.73,0.3,0.53,0.27,0.44,0.36,0.17,0.26,0.44,0.05,0.32,0.23,0.44,0.21
jbpm.csv,0.0,0.0,0.13,0.0,0.13,0.0,0.12,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.02,0.05
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.01,0.0
jpaul.csv,0.0,0.0,0.02,0.01,0.16,0.0,0.29,0.0,0.0,0.0,0.04,0.26,0.0,0.0,0.1,0.16
lamp.csv,0.22,0.33,0.98,0.36,0.45,0.45,0.41,0.43,1.0,0.5,0.48,0.55,0.2,0.58,0.3,0.9
mevenide.csv,0.01,0.17,0.18,0.0,0.1,0.0,0.15,0.0,0.0,0.18,0.56,0.08,0.07,0.02,0.23,0.13
opendvr.csv,0.65,1.0,0.36,0.27,0.36,0.27,0.27,0.31,0.25,0.43,0.04,0.17,0.17,0.32,0.25,0.15
panda3d.csv,0.41,0.33,0.42,0.58,0.39,0.45,0.39,0.14,0.01,0.32,0.92,0.88,0.56,0.02,0.43,0.13
retromenu.csv,0.12,0.33,0.29,0.01,0.07,0.0,0.07,0.35,0.03,0.07,0.04,0.05,0.0,0.0,0.08,0.16
rohxel.csv,0.36,0.17,0.31,0.25,0.47,0.36,0.2,0.08,0.31,0.22,0.72,0.05,0.22,0.23,0.06,0.08
sevenupdate.csv,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.97,0.99,0.99,1.0,1.0,0.95,1.0,1.0,0.98
soar.csv,0.92,0.67,0.69,0.89,0.86,0.73,0.88,0.62,0.99,0.98,0.24,0.98,0.9,0.98,0.82,0.98
stemkit.csv,0.23,0.17,0.29,0.25,0.21,0.45,0.02,0.2,0.21,0.31,0.12,0.56,0.2,0.45,0.12,0.23
thedata.csv,0.62,1.0,0.84,0.44,0.79,0.73,0.83,0.98,0.75,0.45,1.0,0.44,0.85,0.47,0.73,0.08
