,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv,skia.csv,tencompetence.csv
bulmages.csv,0.37,0.41,0.33,0.32,0.44,0.4,0.35,0.42,0.49,0.36,0.35,0.45,0.44,0.18,0.41,0.45,0.36,0.45
codeblocks.csv,0.27,0.34,0.33,0.29,0.25,0.4,0.34,0.32,0.46,0.36,0.32,0.43,0.38,0.36,0.35,0.43,0.33,0.21
grisbi.csv,0.37,0.37,0.38,0.31,0.43,0.4,0.25,0.44,0.43,0.31,0.28,0.43,0.43,0.3,0.41,0.45,0.35,0.46
libmesh.csv,0.37,0.41,0.33,0.32,0.44,0.4,0.31,0.4,0.33,0.34,0.34,0.43,0.41,0.36,0.41,0.45,0.36,0.45
mesa3d.csv,0.15,0.15,0.35,0.32,0.44,0.15,0.15,0.27,0.17,0.36,0.31,0.12,0.19,0.2,0.36,0.31,0.26,0.41
panda3d.csv,0.37,0.2,0.29,0.26,0.18,0.24,0.17,0.44,0.46,0.2,0.21,0.15,0.26,0.36,0.18,0.45,0.35,0.37
proftp.csv,0.18,0.18,0.17,0.28,0.13,0.16,0.15,0.13,0.38,0.3,0.18,0.27,0.13,0.2,0.3,0.43,0.23,0.37
qmmp.csv,0.22,0.22,0.3,0.28,0.28,0.25,0.26,0.39,0.39,0.34,0.24,0.29,0.33,0.29,0.26,0.39,0.32,0.34
red5.csv,0.35,0.36,0.3,0.29,0.39,0.31,0.31,0.32,0.43,0.34,0.34,0.41,0.4,0.36,0.24,0.45,0.32,0.43
skia.csv,0.29,0.39,0.18,0.19,0.12,0.13,0.15,0.44,0.14,0.36,0.3,0.12,0.35,0.25,0.26,0.14,0.13,0.16
soar.csv,0.33,0.4,0.36,0.31,0.44,0.4,0.35,0.37,0.49,0.35,0.34,0.43,0.44,0.32,0.41,0.45,0.35,0.43
super-tux.csv,0.29,0.41,0.26,0.28,0.44,0.4,0.35,0.41,0.44,0.35,0.35,0.44,0.44,0.29,0.4,0.45,0.36,0.25
t-2.csv,0.22,0.2,0.3,0.32,0.19,0.15,0.25,0.34,0.49,0.3,0.22,0.23,0.14,0.3,0.12,0.45,0.35,0.39
tart.csv,0.32,0.4,0.26,0.24,0.18,0.15,0.21,0.43,0.24,0.31,0.32,0.43,0.42,0.32,0.15,0.43,0.3,0.23
tcvp.csv,0.35,0.4,0.38,0.32,0.44,0.4,0.35,0.43,0.49,0.35,0.35,0.43,0.44,0.36,0.41,0.45,0.36,0.45
tencompetence.csv,0.27,0.19,0.33,0.25,0.37,0.27,0.19,0.44,0.46,0.36,0.27,0.34,0.4,0.3,0.38,0.39,0.28,0.42
utgb.csv,0.22,0.24,0.24,0.31,0.21,0.25,0.17,0.29,0.15,0.18,0.22,0.17,0.22,0.21,0.17,0.2,0.26,0.21
xbrlapi.csv,0.24,0.11,0.36,0.29,0.15,0.13,0.2,0.37,0.17,0.36,0.16,0.15,0.24,0.32,0.14,0.45,0.16,0.33
