,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv,skia.csv,tencompetence.csv
bulmages.csv,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.12
codeblocks.csv,0.5,0.64,0.23,0.55,0.65,0.0,0.27,0.57,0.43,0.0,0.33,0.21,0.84,0.0,0.34,0.05,0.42,0.45
grisbi.csv,0.0,0.34,0.0,0.0,0.21,0.0,0.87,0.09,0.17,0.6,0.49,0.3,0.0,0.39,0.0,0.17,0.46,0.13
libmesh.csv,0.09,0.04,0.2,0.02,0.06,0.04,0.25,0.13,0.4,0.46,0.24,0.14,0.32,0.04,0.1,0.0,0.0,0.04
mesa3d.csv,0.2,0.25,0.07,0.06,0.0,0.57,0.24,0.11,0.31,0.0,0.0,0.31,0.28,0.46,0.06,0.29,0.16,0.09
panda3d.csv,0.02,0.26,0.44,0.22,0.33,0.23,0.4,0.0,0.05,0.26,0.23,0.31,0.31,0.0,0.44,0.05,0.05,0.34
proftp.csv,0.4,0.33,0.38,0.11,0.12,0.65,0.28,0.33,0.59,0.13,0.0,0.18,0.21,0.37,0.1,0.05,0.54,0.04
qmmp.csv,0.56,0.52,0.5,0.61,0.59,0.47,0.69,0.51,0.54,0.39,0.53,0.52,0.66,0.51,0.69,0.46,0.45,0.32
red5.csv,0.3,0.55,0.58,0.7,0.35,0.57,0.38,0.72,0.63,0.17,0.17,0.33,0.54,0.0,0.61,0.0,0.44,0.43
skia.csv,0.23,0.04,0.52,0.44,0.43,0.42,0.24,0.0,0.3,0.13,0.0,0.2,0.05,0.16,0.13,0.37,0.3,0.26
soar.csv,0.53,0.13,0.46,0.47,0.21,0.21,0.0,0.36,0.0,0.27,0.09,0.3,0.52,0.7,0.23,0.0,0.32,0.61
super-tux.csv,0.45,0.13,0.71,0.62,0.41,0.0,0.0,0.33,0.45,0.05,0.27,0.36,0.56,0.52,0.24,0.24,0.17,0.52
t-2.csv,0.22,0.45,0.17,0.06,0.46,0.27,0.6,0.42,0.05,0.41,0.72,0.22,0.28,0.52,0.2,0.01,0.11,0.02
tart.csv,0.15,0.02,0.2,0.4,0.38,0.2,0.28,0.05,0.31,0.25,0.0,0.02,0.04,0.07,0.19,0.11,0.2,0.2
tcvp.csv,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tencompetence.csv,0.43,0.28,0.38,0.24,0.43,0.31,0.24,0.37,0.41,0.0,0.23,0.55,0.58,0.56,0.34,0.54,0.58,0.83
utgb.csv,0.3,0.54,0.62,0.09,0.55,0.76,0.5,0.13,0.22,0.37,0.75,0.55,0.5,0.55,0.33,0.5,0.55,0.35
xbrlapi.csv,0.63,0.18,0.13,0.4,0.63,0.55,0.75,0.51,0.37,0.0,0.61,0.45,0.07,0.17,0.26,0.0,0.39,0.41
