,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,18.0,10.0,0.0,1.0,8.0,46.0,17.0,12.0,0.0,18.0,19.0,0.0
autowikibrowser.csv,1.0,0.0,0.0,2.0,3.0,2.0,3.0,7.0,2.0,0.0,5.0,0.0
cities3d.csv,5.0,12.0,0.0,8.0,8.0,0.0,20.0,6.0,5.0,17.0,22.0,1.0
firebird.csv,19.0,3.0,0.0,1.0,1.0,21.0,23.0,10.0,6.0,5.0,8.0,6.0
hydrogen.csv,1.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,2.0,3.0,0.0
lphant.csv,21.0,12.0,0.0,6.0,6.0,40.0,4.0,0.0,0.0,10.0,13.0,1.0
qgo.csv,10.0,0.0,0.0,5.0,1.0,11.0,8.0,4.0,7.0,4.0,7.0,0.0
quickfast.csv,7.0,0.0,0.0,5.0,0.0,9.0,16.0,9.0,8.0,2.0,17.0,0.0
rhex.csv,0.0,2.0,3.0,4.0,2.0,14.0,3.0,2.0,1.0,17.0,3.0,3.0
rocrail.csv,0.0,0.0,4.0,4.0,1.0,16.0,4.0,0.0,6.0,9.0,0.0,0.0
xined.csv,4.0,16.0,0.0,6.0,3.0,21.0,2.0,0.0,2.0,8.0,3.0,0.0
yield.csv,18.0,1.0,3.0,2.0,0.0,35.0,15.0,0.0,6.0,9.0,15.0,0.0
