,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,1.0,0.87,0.81,0.94,0.67,0.68,0.56,0.6,0.77,0.8,0.91,0.79
autowikibrowser.csv,0.5,0.67,0.55,0.62,0.51,0.65,0.69,0.5,0.59,0.95,0.86,0.68
cities3d.csv,0.42,0.83,0.69,0.6,0.49,0.89,0.81,0.4,0.23,0.23,0.14,0.28
firebird.csv,0.17,0.63,0.97,0.56,0.52,0.68,0.31,0.7,0.82,0.61,0.73,0.55
hydrogen.csv,0.33,0.53,0.42,0.31,0.14,0.59,1.0,0.3,0.14,0.32,0.64,0.34
lphant.csv,0.58,0.67,0.74,0.62,0.7,0.86,0.75,0.8,1.0,0.7,0.91,0.85
qgo.csv,0.33,1.0,0.42,0.37,0.19,0.7,0.5,0.6,0.45,0.57,0.5,0.32
quickfast.csv,0.5,0.57,0.52,0.45,0.29,0.59,0.5,0.2,0.55,0.75,0.5,0.96
rhex.csv,0.92,0.17,0.42,0.21,0.21,0.38,0.31,0.2,0.05,0.45,0.32,0.17
rocrail.csv,0.33,0.2,0.44,0.32,0.27,0.54,0.5,0.4,0.36,0.55,0.95,0.23
xined.csv,0.42,0.53,0.27,0.48,0.29,0.43,0.56,1.0,0.18,0.25,0.55,0.34
yield.csv,0.83,0.97,0.72,0.76,0.97,0.97,0.81,0.9,0.86,0.86,1.0,0.89
