,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.33,0.76,0.23,0.95,0.37,0.4,0.57,0.52,0.47,0.43,0.45,0.76
autowikibrowser.csv,0.53,0.69,0.56,0.62,0.55,0.65,0.7,0.51,0.63,0.96,0.79,0.61
cities3d.csv,0.46,0.51,0.59,0.48,0.44,0.91,0.68,0.45,0.27,0.26,0.17,0.32
firebird.csv,0.2,0.65,0.97,0.58,0.56,0.67,0.34,0.55,0.65,0.59,0.73,0.56
hydrogen.csv,0.38,0.58,0.46,0.36,0.17,0.63,1.0,0.34,0.17,0.37,0.67,0.39
lphant.csv,0.56,0.61,0.63,0.61,0.67,0.76,0.64,0.74,1.0,0.67,0.76,0.5
qgo.csv,0.37,1.0,0.47,0.42,0.23,0.69,0.55,0.61,0.47,0.59,0.54,0.37
quickfast.csv,0.54,0.59,0.55,0.49,0.34,0.61,0.54,0.23,0.53,0.71,0.53,0.96
rhex.csv,0.93,0.2,0.45,0.25,0.25,0.43,0.36,0.24,0.06,0.46,0.37,0.2
rocrail.csv,0.38,0.24,0.47,0.37,0.31,0.59,0.55,0.45,0.4,0.56,0.96,0.27
xined.csv,0.46,0.44,0.31,0.48,0.33,0.48,0.59,1.0,0.21,0.29,0.59,0.38
yield.csv,0.61,0.81,0.63,0.64,0.98,0.38,0.74,0.52,0.6,0.67,0.45,0.74
