,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.24,0.71,0.61,0.95,0.51,0.13,0.28,0.27,0.52,0.56,0.36,0.78
autowikibrowser.csv,0.3,0.7,0.58,0.53,0.58,0.24,0.42,0.29,0.68,0.98,0.53,0.66
cities3d.csv,0.3,0.6,0.61,0.41,0.44,0.94,0.3,0.36,0.3,0.26,0.13,0.41
firebird.csv,0.11,0.66,0.96,0.52,0.59,0.24,0.15,0.3,0.59,0.56,0.53,0.6
hydrogen.csv,0.32,0.64,0.51,0.41,0.24,0.38,0.97,0.26,0.23,0.44,0.6,0.48
lphant.csv,0.24,0.58,0.64,0.52,0.65,0.25,0.27,0.43,1.0,0.63,0.47,0.71
qgo.csv,0.25,1.0,0.53,0.45,0.31,0.27,0.43,0.4,0.43,0.59,0.47,0.45
quickfast.csv,0.33,0.59,0.57,0.46,0.43,0.24,0.38,0.14,0.46,0.67,0.37,0.97
rhex.csv,0.96,0.26,0.49,0.31,0.31,0.38,0.38,0.29,0.08,0.44,0.41,0.27
rocrail.csv,0.4,0.32,0.49,0.41,0.4,0.42,0.48,0.47,0.41,0.53,0.95,0.35
xined.csv,0.31,0.44,0.37,0.39,0.36,0.39,0.35,1.0,0.25,0.31,0.52,0.44
yield.csv,0.25,0.75,0.64,0.53,0.98,0.17,0.35,0.33,0.58,0.65,0.39,0.79
