,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.41,0.45,0.53,0.32,0.46,0.2,0.06,0.7,0.09,0.83,0.97,0.0,0.46
badtrinity-zero.csv,0.71,0.0,0.64,0.0,0.37,0.08,0.11,0.0,0.16,0.9,0.94,0.75,0.51
bibletime.csv,0.47,0.51,0.55,0.47,0.39,0.11,0.09,0.77,0.1,0.94,0.93,0.85,0.55
critterding.csv,0.45,0.62,0.48,0.29,0.31,0.08,0.07,0.71,0.09,0.82,0.88,0.82,0.49
elateportal.csv,0.42,0.47,0.57,0.39,0.49,0.16,0.06,0.77,0.05,0.89,1.0,0.77,0.5
fmri-dmt.csv,0.4,0.4,0.43,0.31,0.23,0.05,0.08,0.64,0.35,0.78,0.87,0.76,0.32
ftm.csv,0.5,0.65,0.69,0.43,0.47,0.11,0.08,0.79,0.22,0.97,1.0,0.88,0.62
gusanos.csv,0.4,0.48,0.68,0.32,0.39,0.2,0.0,0.87,0.09,0.87,0.95,0.0,0.44
monetdb.csv,0.42,0.51,0.63,0.43,0.56,0.15,0.04,0.82,0.09,0.95,1.0,0.93,0.52
quarkplayer.csv,0.48,0.62,0.46,0.38,0.06,0.05,0.16,0.45,0.1,0.86,0.0,0.65,0.43
reactos-mirror.csv,0.61,0.56,0.56,0.43,0.45,0.11,0.08,0.73,0.1,0.85,0.93,0.75,0.36
sandiaportals.csv,0.47,0.45,0.59,0.4,0.43,0.1,0.07,0.71,0.06,0.92,0.0,0.91,0.52
xbplayer.csv,0.49,0.54,0.6,0.52,0.62,0.14,0.07,0.86,0.12,0.92,0.87,0.92,0.61
