,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.69,0.8,0.67,0.61,0.55,0.92,0.06,0.74,0.63,0.77
empserver.csv,0.69,0.91,0.64,0.62,0.08,0.63,0.62,0.64,0.65,0.68
enlightenment.csv,0.64,0.8,0.72,0.02,0.74,0.9,0.59,0.53,0.69,0.7
ffigo.csv,0.58,0.83,0.53,0.58,0.59,0.79,0.55,0.0,0.72,0.79
ildjit.csv,0.95,0.1,0.95,0.97,0.94,1.0,0.89,0.99,0.93,0.92
jfreereport.csv,0.96,0.81,0.08,0.75,0.86,0.76,0.72,0.87,0.74,0.9
mplayer-ce.csv,0.91,0.8,0.67,0.89,0.91,0.87,0.63,0.93,0.05,0.97
psycle.csv,0.03,0.58,0.88,0.75,0.59,0.76,0.77,0.59,0.74,0.74
wikipediardware.csv,0.51,0.77,0.85,0.66,0.81,0.74,0.84,0.68,0.8,0.07
wxjs.csv,1.0,1.0,1.0,0.99,1.0,0.0,1.0,1.0,1.0,1.0
