,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.77,0.59,0.74,0.54,0.51,0.58,0.9,0.64,0.49,0.57
empserver.csv,0.7,0.62,0.55,0.62,0.58,0.49,0.71,0.67,0.57,0.54
enlightenment.csv,0.55,0.49,0.48,0.55,0.5,0.89,0.5,0.5,0.47,0.71
ffigo.csv,0.54,0.62,0.45,0.58,0.4,0.75,0.49,0.46,0.41,0.64
ildjit.csv,0.95,0.96,0.99,0.93,0.67,0.5,0.96,0.0,0.98,0.75
jfreereport.csv,0.71,0.49,0.99,0.66,0.57,0.81,0.76,0.51,0.54,0.53
mplayer-ce.csv,0.53,0.47,0.61,0.5,0.46,0.44,0.64,0.43,0.6,0.54
psycle.csv,0.49,0.43,0.44,0.5,0.51,0.42,0.45,0.47,0.37,0.55
wikipediardware.csv,0.44,0.41,0.39,0.41,0.39,0.36,0.41,0.36,0.35,0.46
wxjs.csv,0.67,0.0,0.0,0.75,0.0,0.88,0.0,0.0,0.0,0.0
