,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.17,0.58,0.22,0.32,0.39,0.28,0.0,0.32,0.45,0.71
empserver.csv,0.23,0.55,0.41,0.38,0.0,0.51,0.31,0.3,0.48,0.43
enlightenment.csv,0.4,0.41,0.65,0.0,0.45,0.2,0.33,0.32,0.42,0.14
ffigo.csv,0.27,0.4,0.45,0.31,0.48,0.24,0.53,0.0,0.58,0.29
ildjit.csv,0.1,0.0,0.07,0.03,0.03,0.02,0.07,0.0,0.11,0.07
jfreereport.csv,0.84,0.79,0.0,0.67,0.76,0.43,0.43,0.8,0.67,0.86
mplayer-ce.csv,0.89,0.79,0.52,0.87,0.88,0.87,0.25,0.91,0.01,0.93
psycle.csv,0.0,0.57,0.87,0.72,0.42,0.57,0.77,0.43,0.69,0.64
wikipediardware.csv,0.39,0.69,0.85,0.61,0.76,0.74,0.84,0.64,0.78,0.07
wxjs.csv,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0
