,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.78,0.51,0.54,0.99,0.86,0.98,1.0,0.87,0.65,0.98,1.0
avisynth2.csv,0.8,1.0,0.97,0.88,0.9,0.03,1.0,1.0,1.0,1.0,1.0
coot.csv,0.98,0.76,0.83,0.9,0.82,1.0,0.77,0.57,0.96,0.4,0.77
dsworkbench.csv,0.37,0.88,0.9,0.89,0.81,1.04,0.82,0.94,0.88,0.93,0.93
freelords.csv,0.69,0.81,0.56,0.43,0.7,0.87,0.91,0.58,0.85,0.8,0.87
gephex.csv,1.0,0.87,0.59,0.74,0.65,1.13,0.43,0.85,0.8,0.89,1.01
jas.csv,0.9,0.71,0.77,0.71,0.86,0.39,0.77,0.56,0.14,0.78,0.83
jpaul.csv,0.88,0.97,0.85,0.27,0.68,0.71,0.99,0.86,0.48,0.98,0.97
ngl.csv,0.94,0.92,0.74,0.85,0.72,0.49,0.93,0.5,0.74,0.52,0.81
scenemonitor.csv,0.67,0.62,0.62,0.44,0.29,1.0,0.71,0.66,0.8,0.86,0.95
synecdoche.csv,0.71,0.7,0.66,0.63,0.77,1.01,0.63,0.84,0.96,0.58,0.42
