,ltp.csv,konversation.csv,moviesandbox.csv,sepgsql.csv,migen.csv,mcmc-jags.csv,cataclysmos.csv,ildjit.csv,opengs.csv,tcl.csv,phonon-vlc-mplayer.csv,openxava.csv,unflobtactical.csv,micomt.csv,nebuladevice.csv,passwordsafe.csv,exl.csv,crux-framework.csv
crux-framework.csv,1.0,0.0,0.0,0.11,1.0,0.0,0.0,0.38,1.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
exl.csv,0.68,0.26,0.6,0.05,0.51,0.29,0.07,0.24,0.48,0.59,0.33,0.1,0.68,0.19,0.3,0.55,1.0,0.05
ildjit.csv,0.44,0.0,0.5,0.1,0.6,0.16,0.0,0.96,0.0,0.0,0.08,0.0,0.0,0.0,0.2,0.17,0.0,0.11
konversation.csv,0.31,1.0,0.72,0.03,0.69,0.75,0.0,0.0,0.89,0.44,0.61,0.45,0.71,0.0,0.18,0.63,0.94,0.06
ltp.csv,0.99,0.15,0.59,0.05,0.53,0.22,0.03,0.09,0.24,0.48,0.47,0.03,0.68,0.33,0.25,0.39,0.81,0.04
mcmc-jags.csv,0.76,0.21,0.68,0.04,0.56,1.0,0.05,0.11,0.55,0.4,0.53,0.11,0.75,0.33,0.2,0.52,0.83,0.02
micomt.csv,0.62,0.18,0.7,0.06,0.43,0.75,0.05,0.16,0.47,0.58,0.63,0.19,0.51,1.0,0.08,0.6,0.88,0.02
migen.csv,0.69,0.33,0.77,0.07,1.0,0.67,0.14,0.35,0.62,0.14,0.46,0.19,0.85,0.22,0.18,0.6,0.91,0.05
moviesandbox.csv,0.79,0.27,0.98,0.12,0.6,0.8,0.0,0.1,0.66,0.5,0.67,0.64,0.77,0.7,0.06,0.58,0.85,0.03
nebuladevice.csv,0.27,0.4,0.67,0.1,0.71,0.3,0.12,0.18,0.35,0.48,0.16,0.62,0.8,0.16,1.0,0.42,0.5,0.03
opengs.csv,0.66,0.41,0.76,0.06,0.56,1.0,0.1,0.28,1.0,0.67,0.76,0.18,0.8,0.5,0.1,0.71,0.96,0.04
openxava.csv,0.67,0.17,0.57,0.04,0.46,0.21,0.04,0.3,0.48,0.57,0.12,1.0,0.46,0.17,0.21,0.43,0.91,0.04
passwordsafe.csv,0.71,0.22,0.66,0.05,0.49,0.27,0.05,0.13,0.5,0.53,0.49,0.1,0.59,0.43,0.22,0.98,0.84,0.01
phonon-vlc-mplayer.csv,0.71,0.2,0.72,0.05,0.46,0.23,0.04,0.18,0.55,0.54,0.96,0.16,0.65,0.4,0.12,0.37,0.78,0.04
sepgsql.csv,0.47,0.0,0.5,0.96,0.15,0.33,0.0,0.2,0.0,0.38,0.34,0.5,0.75,0.14,0.0,0.83,0.0,0.0
tcl.csv,0.69,0.05,0.38,0.06,0.3,0.11,0.0,0.24,0.27,0.93,0.17,0.02,0.57,0.15,0.15,0.25,0.44,0.0
unflobtactical.csv,0.76,0.24,0.58,0.08,0.56,0.83,0.05,0.12,0.37,0.25,0.25,0.11,1.0,0.5,0.2,0.38,0.85,0.04
