,fbmanager.csv,scen-connect.csv,wxlua.csv,officefloor.csv,stuproa-cims.csv,tart.csv,ontopia.csv,jgossipforum.csv,powerfolder.csv,madman.csv,power-architect.csv,hannosset.csv,bzbyte.csv,mediaportal.csv,poormans.csv,fleet-simulator.csv,ninject.csv,jruby.csv,hydrate.csv,uface.csv
bzbyte.csv,1.01,0.8,1.0,0.91,0.74,0.98,0.9,0.98,0.85,0.86,0.79,0.86,0.0,0.92,0.72,0.39,0.69,0.8,1.0,0.77
fbmanager.csv,0.0,1.11,0.85,0.78,0.54,0.53,0.69,0.66,0.75,0.67,0.75,0.59,0.64,0.57,0.58,0.73,0.51,0.81,0.64,0.57
fleet-simulator.csv,0.69,0.69,0.88,0.5,0.82,0.75,1.0,0.64,0.81,0.78,0.55,0.94,0.84,0.73,0.59,0.0,0.48,0.81,1.01,0.3
hannosset.csv,0.86,1.0,0.93,0.84,0.85,1.0,0.75,0.71,1.03,0.88,0.93,0.0,0.93,0.9,0.95,0.91,0.92,0.94,0.95,0.74
hydrate.csv,0.83,0.05,0.89,0.73,0.81,0.7,0.84,1.0,0.42,0.9,0.72,0.67,0.64,0.52,0.51,0.87,0.52,0.78,0.03,0.9
jgossipforum.csv,0.94,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.88,1.0,1.0,0.92,0.98,1.0,1.0,1.0,1.0,1.0,0.97
jruby.csv,0.84,0.77,0.94,0.71,0.65,1.05,0.7,0.82,0.84,0.6,0.74,0.72,0.55,0.66,0.77,0.17,0.65,0.05,0.81,0.58
madman.csv,0.91,1.0,0.99,0.85,0.93,0.81,0.99,1.0,1.0,0.0,0.98,1.0,0.81,0.9,0.97,1.0,1.0,0.96,0.91,0.83
mediaportal.csv,1.0,0.93,0.98,0.79,0.99,1.01,0.88,0.96,1.16,1.0,0.78,0.84,0.9,0.22,0.86,1.0,0.83,0.87,0.74,0.99
ninject.csv,0.83,0.82,0.82,0.51,0.76,0.65,0.58,1.03,0.48,0.76,0.9,0.83,0.76,0.63,0.71,0.46,0.0,0.56,0.64,0.82
officefloor.csv,1.0,1.37,0.97,0.13,0.98,1.0,0.82,0.69,1.28,1.0,0.84,1.0,0.85,0.93,1.0,1.0,1.0,0.89,0.94,0.99
ontopia.csv,0.75,1.0,1.01,0.74,0.83,0.87,0.01,0.88,1.05,0.8,1.0,0.81,0.73,0.72,0.81,1.01,0.96,0.86,0.82,0.77
poormans.csv,0.77,0.08,0.89,0.6,0.76,0.61,0.87,0.8,0.42,0.79,0.91,0.57,0.7,0.66,0.12,0.17,0.81,0.74,0.56,0.84
power-architect.csv,0.87,0.89,0.69,0.87,0.6,0.92,0.73,1.03,0.62,0.9,0.0,0.79,0.68,0.87,0.78,1.0,0.81,0.9,1.0,0.99
powerfolder.csv,1.0,1.0,0.98,0.87,0.96,1.0,0.99,1.0,0.0,1.0,0.95,1.0,0.9,0.85,0.94,1.0,1.0,0.98,0.91,1.0
stuproa-cims.csv,0.85,0.25,0.77,0.53,0.05,0.75,0.62,0.65,0.44,0.82,0.81,0.48,0.59,0.63,0.66,0.3,0.81,0.59,0.8,0.74
tart.csv,0.94,1.0,0.45,0.9,0.87,0.0,0.95,0.88,1.0,1.0,0.93,0.85,0.74,0.95,1.02,0.85,0.89,0.99,0.97,0.96
uface.csv,0.94,0.59,0.63,0.7,0.65,0.82,0.72,0.67,0.9,0.86,0.75,0.81,0.81,0.89,0.74,0.16,0.75,0.73,0.88,0.01
wxlua.csv,0.77,0.93,0.25,0.95,0.95,0.56,0.54,0.88,0.88,0.82,0.88,0.9,0.81,0.86,0.88,0.3,1.0,0.79,0.78,0.9
