,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.99,0.22,0.96,0.86,0.79,0.89,0.79,1.0,0.87,1.04
libtorrent.csv,0.82,0.65,0.66,0.66,0.8,0.39,0.69,0.77,0.6,0.76
mcmc-jags.csv,0.64,0.75,0.92,0.27,0.66,0.64,0.78,0.49,0.82,0.68
nebuladevice.csv,0.78,0.93,1.0,0.7,1.0,0.63,0.75,1.0,0.39,0.47
olap-navigator.csv,0.18,0.75,0.53,0.44,0.47,0.52,0.65,0.66,0.53,0.48
pidgin.csv,0.57,0.67,0.67,0.5,0.42,0.5,0.46,0.64,0.71,0.59
salasaga.csv,0.71,0.75,0.7,0.63,0.5,0.7,0.51,0.39,0.85,0.59
sepgsql.csv,0.4,0.59,0.37,0.68,0.47,0.61,0.55,0.6,0.94,0.24
xstore.csv,0.73,0.94,1.0,0.6,0.74,0.69,0.36,0.54,0.64,0.81
xtreemfs.csv,0.35,0.62,0.98,0.57,0.89,0.53,0.72,0.84,0.91,0.28
