,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.55,0.77,0.03,0.18,0.67,0.81,0.48,0.14,0.12,0.69
libtorrent.csv,0.73,0.46,0.07,0.29,0.75,0.93,0.58,0.15,0.25,0.87
mcmc-jags.csv,0.76,0.41,0.05,0.57,0.77,0.87,0.57,0.24,0.16,0.87
nebuladevice.csv,0.7,0.25,0.0,0.27,0.0,0.89,0.5,0.0,0.35,0.91
olap-navigator.csv,0.96,0.39,0.08,0.53,0.84,0.96,0.57,0.17,0.26,0.91
pidgin.csv,0.77,0.45,0.06,0.53,0.85,0.93,0.69,0.2,0.22,0.9
salasaga.csv,0.69,0.43,0.05,0.31,0.82,0.85,0.65,0.31,0.12,0.89
sepgsql.csv,0.97,0.5,0.11,0.45,0.83,1.0,0.65,0.2,0.2,0.97
xstore.csv,0.68,0.22,0.05,0.75,0.76,0.97,0.79,0.22,0.21,0.86
xtreemfs.csv,0.86,0.5,0.05,0.34,0.73,0.91,0.59,0.14,0.1,0.95
