,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv
dxengine.csv,0.54,0.5,0.78,0.82,0.76,0.79,0.58,0.96,0.46,1.02,0.82,0.69
freedom-erp.csv,0.23,0.93,0.57,0.98,1.0,0.95,0.7,0.4,0.66,1.0,0.64,0.97
haggle.csv,0.79,0.86,0.82,0.5,0.89,0.97,1.0,1.0,1.0,1.02,0.73,0.91
javaprofiler.csv,0.85,0.87,0.84,0.98,0.77,0.98,1.0,1.0,0.61,0.97,1.0,0.29
jchassis.csv,1.0,1.0,1.0,1.0,0.9,1.0,0.96,1.0,1.0,0.06,1.0,1.0
jmoney.csv,0.25,0.47,0.42,0.62,0.81,0.7,0.86,0.66,0.35,1.01,0.83,0.75
jsidplay2.csv,0.49,0.83,0.32,0.8,0.68,0.69,0.45,0.8,0.75,1.07,0.97,0.85
madman.csv,0.72,0.84,0.84,0.7,0.83,0.8,0.77,0.99,0.26,1.02,0.71,0.69
matrex.csv,0.31,0.53,0.6,0.81,0.49,0.73,0.24,0.56,0.43,1.0,0.95,0.61
mediate.csv,0.87,0.73,0.93,0.67,0.5,0.81,0.88,0.58,0.75,0.77,0.68,0.53
primefaces.csv,0.64,0.92,0.59,0.95,0.91,0.99,0.47,0.88,0.96,0.64,0.37,0.63
tmva.csv,0.67,0.75,0.9,0.76,1.0,0.33,1.0,1.0,0.57,1.24,0.8,0.95
