,rhex.csv,qgo.csv,flylegacy.csv,firebird.csv,mcore3d.csv,yield.csv,gzigzag.csv,webdriver.csv,hydrogen.csv,qtractor.csv,ogrehg.csv,dspace-gsoc.csv,nabu-library.csv,xined.csv,rocrail.csv
dspace-gsoc.csv,0.14,0.59,0.74,0.55,0.71,0.52,0.26,0.54,0.24,0.64,0.47,1.0,0.67,0.21,0.37
firebird.csv,0.07,0.72,0.79,0.98,0.74,0.6,0.29,0.59,0.21,0.57,0.4,0.89,0.62,0.19,0.36
flylegacy.csv,0.16,0.2,1.0,0.56,0.7,0.54,0.38,0.58,0.2,0.79,0.44,0.73,0.73,0.18,0.39
gzigzag.csv,0.17,0.48,0.79,0.66,0.8,0.82,1.0,0.58,0.38,0.67,0.52,0.5,0.42,0.2,0.31
hydrogen.csv,0.38,0.68,0.79,0.72,0.86,1.0,0.11,0.6,1.0,0.86,0.58,1.0,0.53,0.38,0.57
mcore3d.csv,0.21,0.65,0.75,0.51,0.99,0.49,0.25,0.45,0.32,0.61,0.45,0.67,0.71,0.19,0.24
nabu-library.csv,0.15,0.52,0.72,0.49,0.72,0.53,0.25,0.45,0.19,0.63,0.38,0.62,0.97,0.17,0.27
ogrehg.csv,0.17,0.53,0.76,0.54,0.85,0.61,0.32,0.63,0.2,0.63,1.0,0.64,0.2,0.35,0.26
qgo.csv,0.17,1.0,0.77,0.61,0.79,0.75,0.31,0.55,0.4,0.71,0.48,0.76,0.66,0.29,0.37
qtractor.csv,0.18,0.68,0.82,0.61,0.71,0.54,0.37,0.62,0.32,1.0,0.51,0.65,0.41,0.24,0.38
rhex.csv,0.92,0.53,0.74,0.66,0.76,0.66,0.26,0.6,0.41,0.62,0.49,0.0,0.79,0.12,0.6
rocrail.csv,0.4,0.78,0.94,0.6,0.79,0.5,0.39,0.73,0.5,0.55,0.61,0.5,0.47,0.43,1.0
webdriver.csv,0.2,0.5,0.76,0.6,0.74,0.82,0.39,0.98,0.26,0.63,0.64,0.58,0.73,0.24,0.35
xined.csv,0.0,0.47,0.76,0.66,0.75,0.86,0.33,0.45,0.29,0.68,0.46,0.67,0.46,1.0,0.31
yield.csv,0.22,0.52,0.73,0.54,0.76,1.0,0.25,0.45,0.2,0.57,0.48,0.67,0.45,0.17,0.27
