,rhex.csv,qgo.csv,flylegacy.csv,firebird.csv,mcore3d.csv,yield.csv,gzigzag.csv,webdriver.csv,hydrogen.csv,qtractor.csv,ogrehg.csv,dspace-gsoc.csv,nabu-library.csv,xined.csv,rocrail.csv
dspace-gsoc.csv,0.53,0.46,0.82,0.64,0.4,0.31,0.58,0.46,0.31,0.38,0.41,0.0,0.28,0.51,0.42
firebird.csv,0.47,0.2,0.36,0.02,0.44,0.28,0.24,0.31,0.53,0.5,0.5,0.11,0.22,0.4,0.38
flylegacy.csv,0.64,0.11,0.0,0.73,0.65,0.54,0.34,0.19,0.51,0.17,0.5,0.21,0.18,0.77,0.41
gzigzag.csv,0.36,0.69,0.41,0.2,0.09,0.09,0.0,0.3,0.13,0.46,0.29,0.26,0.25,0.28,0.3
hydrogen.csv,0.06,0.17,0.18,0.15,0.05,0.0,0.18,0.15,0.0,0.04,0.11,0.0,0.09,0.12,0.11
mcore3d.csv,0.37,0.23,0.5,0.5,0.02,0.6,0.62,0.52,0.19,0.29,0.37,0.53,0.26,0.49,0.35
nabu-library.csv,0.78,0.63,0.77,0.71,0.75,0.72,0.82,0.74,0.66,0.46,0.82,0.79,0.03,0.81,0.7
ogrehg.csv,0.25,0.26,0.23,0.34,0.12,0.24,0.29,0.2,0.28,0.29,0.0,0.21,0.71,0.35,0.46
qgo.csv,0.42,0.0,0.73,0.46,0.32,0.1,0.41,0.31,0.15,0.42,0.38,0.42,0.26,0.4,0.4
qtractor.csv,0.22,0.26,0.41,0.37,0.42,0.46,0.26,0.31,0.26,0.0,0.33,0.32,0.78,0.51,0.38
rhex.csv,0.01,0.51,0.36,0.19,0.14,0.18,0.38,0.31,0.1,0.25,0.18,0.0,0.1,0.35,0.1
rocrail.csv,0.04,0.06,0.05,0.24,0.05,0.07,0.12,0.07,0.07,0.38,0.08,0.05,0.09,0.09,0.0
webdriver.csv,0.3,0.43,0.23,0.17,0.3,0.12,0.27,0.02,0.29,0.29,0.18,0.26,0.11,0.58,0.39
xined.csv,0.19,0.89,0.32,0.08,0.07,0.01,0.4,0.44,0.17,0.25,0.21,0.21,0.8,0.0,0.22
yield.csv,0.49,0.6,0.82,0.55,0.46,0.0,0.85,0.93,0.51,0.67,0.46,0.74,0.96,0.67,0.7
