,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.5,0.5,0.35,0.95,0.75,0.3,0.34,0.33,0.41,0.24,0.19
gabel.csv,0.0,0.0,0.03,0.0,1.0,0.0,0.04,0.01,0.0,0.0,0.01
javaprofiler.csv,0.6,0.46,0.51,0.82,0.75,0.6,0.65,0.38,0.35,0.52,1.0
jmoney.csv,1.0,0.37,0.24,0.45,0.38,0.2,0.19,0.53,0.24,0.38,0.07
mycila.csv,0.0,0.07,0.05,0.0,0.12,1.0,0.01,0.21,0.0,0.0,0.29
neodatis-odb.csv,0.5,0.48,0.97,0.41,0.5,0.1,0.43,0.26,0.59,0.48,0.52
servicestack.csv,0.45,0.63,0.84,0.32,0.75,0.8,0.44,0.44,1.0,0.24,0.65
sqlpower-library.csv,1.0,1.0,0.89,0.77,1.0,0.9,0.69,0.71,0.82,0.72,0.93
synecdoche.csv,0.2,0.35,0.11,0.59,0.62,0.3,0.31,0.34,0.12,0.9,0.13
tmva.csv,0.2,0.39,0.59,0.91,0.88,0.8,0.99,0.4,0.41,0.52,0.36
unicase.csv,0.8,0.48,0.49,0.55,0.75,0.7,0.56,0.99,0.24,0.55,0.53
