,selenium.csv,pcgen.csv,autoopencas.csv,tolven.csv
autoopencas.csv,0.34,0.41,0.65,0.11
pcgen.csv,0.65,0.65,0.42,0.45
selenium.csv,0.67,0.62,0.4,0.54
tolven.csv,0.55,0.63,0.1,0.62
