,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.93,0.88,0.65,0.55,0.86,0.79,0.17,0.99,0.81,0.9,0.97,0.96,0.89
ivef-sdk.csv,0.71,0.58,0.61,0.7,0.79,0.0,1.04,0.95,0.8,0.81,1.0,1.09,0.87
jmri.csv,0.61,0.74,0.46,0.87,0.95,0.43,0.73,0.42,0.59,0.74,0.37,0.72,0.86
jython.csv,0.72,0.79,0.72,0.8,0.92,0.8,0.97,0.23,0.74,0.83,0.86,0.66,0.78
kdenlive.csv,0.41,0.58,0.65,1.05,0.71,1.03,0.78,0.99,0.55,0.72,0.71,0.49,0.69
opentibia.csv,0.63,0.27,0.62,0.69,0.73,0.94,0.81,0.97,0.81,0.93,0.69,0.64,0.96
projectfactory.csv,0.86,0.81,0.63,0.95,0.59,0.97,0.85,1.0,0.56,0.59,0.51,0.75,0.72
runuomondains.csv,0.51,0.63,0.6,1.04,0.83,1.07,0.84,0.24,0.45,0.84,0.21,0.6,0.91
somap.csv,0.93,0.92,0.81,0.85,0.81,1.12,0.81,1.0,1.0,0.83,0.94,0.17,0.95
taverna.csv,0.69,0.77,0.91,0.9,0.32,0.93,0.59,0.73,0.78,0.71,0.63,0.81,0.81
tigermud.csv,0.88,0.96,0.95,0.76,0.65,0.58,0.9,0.55,0.81,0.83,0.59,0.59,0.52
unbvision.csv,0.48,0.69,0.64,1.0,0.87,1.09,0.81,0.36,0.32,0.75,0.64,0.85,0.77
x-ray-mule.csv,0.82,0.82,0.86,0.3,0.73,1.0,0.98,0.95,0.88,0.81,1.0,0.69,0.66
