,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,primefaces.csv,web-cat.csv
cleartk.csv,0.62,0.73,0.65,0.26,0.82,0.54,0.61,0.93,0.81,0.9,0.52,0.7,0.71,0.89
encog-cs.csv,0.71,0.85,0.95,1.01,0.86,0.89,0.92,1.0,0.43,0.73,0.99,1.0,0.96,0.68
extprosys.csv,0.65,1.02,0.54,0.65,1.0,0.58,0.76,0.93,0.64,1.0,0.56,0.7,0.77,0.76
intact.csv,1.11,0.93,0.66,0.5,0.6,0.42,0.85,0.66,0.62,0.81,0.55,0.87,0.85,0.73
japano.csv,1.27,1.0,0.75,0.94,0.79,0.81,1.0,0.5,0.93,0.84,0.96,0.9,0.97,0.61
lockss.csv,0.14,0.71,0.91,0.95,0.9,0.97,0.87,0.79,0.82,0.5,0.49,0.91,1.0,0.82
officefloor.csv,0.51,0.86,0.87,0.61,0.81,0.79,0.97,0.83,0.69,0.8,0.46,0.96,0.9,0.88
opennms.csv,0.47,1.1,0.91,0.79,0.39,0.72,0.8,0.82,0.72,0.52,0.69,0.61,0.9,0.95
primefaces.csv,1.14,0.85,1.0,0.78,0.77,0.82,0.94,0.71,0.84,0.99,0.83,0.72,0.37,0.74
rohxel.csv,0.4,0.76,0.66,0.79,0.84,0.75,0.56,0.6,0.88,0.91,0.88,0.61,0.72,0.95
roolo.csv,1.24,0.73,0.84,0.79,0.86,0.84,0.83,0.81,0.79,0.86,0.89,0.33,0.83,0.8
sevenupdate.csv,0.99,0.3,1.0,1.0,0.94,1.0,1.0,1.0,0.95,0.81,0.99,0.97,1.0,1.0
web-cat.csv,1.16,0.63,0.61,0.83,0.82,0.63,0.79,0.81,0.95,0.77,0.78,0.8,0.83,0.31
