,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,primefaces.csv,web-cat.csv
cleartk.csv,0.03,0.78,0.42,0.9,0.29,0.48,0.69,0.81,0.48,0.33,0.08,0.58,0.44,0.33
encog-cs.csv,0.03,0.86,0.38,0.86,0.4,0.48,0.82,0.91,0.62,0.26,0.05,0.36,0.73,0.56
extprosys.csv,0.03,0.82,0.48,0.92,0.42,0.49,0.46,0.64,0.45,0.32,0.08,0.43,0.41,0.36
intact.csv,0.0,0.7,0.38,0.77,0.44,0.58,0.26,0.5,0.46,0.34,0.09,0.22,0.35,0.36
japano.csv,0.0,0.91,0.46,0.85,0.43,0.46,0.85,0.86,0.51,0.31,0.05,0.51,0.71,0.56
lockss.csv,0.12,0.44,0.15,0.09,0.16,0.06,0.23,0.5,0.27,0.42,0.13,0.15,0.0,0.27
officefloor.csv,0.04,0.25,0.19,0.62,0.25,0.27,0.05,0.65,0.4,0.21,0.11,0.08,0.18,0.38
opennms.csv,0.04,0.64,0.16,0.36,0.59,0.35,0.71,0.31,0.37,0.4,0.08,0.49,0.17,0.09
primefaces.csv,0.0,0.88,0.44,0.78,0.39,0.36,0.74,0.83,0.42,0.33,0.06,0.5,0.76,0.47
rohxel.csv,0.05,0.39,0.38,0.36,0.21,0.31,0.74,0.61,0.21,0.13,0.03,0.46,0.63,0.1
roolo.csv,0.0,0.78,0.44,0.75,0.43,0.41,0.38,0.57,0.39,0.26,0.05,0.7,0.69,0.52
sevenupdate.csv,0.02,0.85,0.44,0.94,0.38,0.45,0.88,0.97,0.53,0.23,0.05,0.51,0.75,0.55
web-cat.csv,0.0,0.55,0.42,0.81,0.35,0.48,0.63,0.68,0.5,0.29,0.06,0.38,0.59,0.73
