,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.69,0.13,0.04,0.32,0.15,0.0,0.05,0.29,0.23,0.11
h2database.csv,0.62,0.71,0.13,0.68,0.4,0.53,0.19,0.45,0.25,0.11
hannosset.csv,0.02,0.32,0.13,0.26,0.19,0.69,0.36,0.2,0.2,0.17
jaql.csv,0.73,0.53,0.38,0.65,0.4,0.0,0.19,0.18,0.04,0.11
megameknet.csv,0.62,0.62,0.43,0.59,0.71,0.48,0.54,0.52,0.38,0.46
ngl.csv,0.17,0.6,0.44,0.58,0.68,0.42,0.56,0.68,0.45,0.54
qedo.csv,0.21,0.05,0.39,0.05,0.14,0.0,0.18,0.11,0.42,0.77
qmmp.csv,0.54,0.62,0.51,0.55,0.47,0.78,0.49,0.63,0.69,0.43
raven-monitoring.csv,0.34,0.44,0.71,0.43,0.5,0.2,0.36,0.29,0.32,0.17
v8.csv,0.09,0.52,0.44,0.44,0.54,0.65,0.83,0.4,0.3,0.44
