,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.44,0.72,0.48,0.51
n2cms.csv,0.76,0.63,0.39,0.71
nassp.csv,0.33,0.33,0.39,0.76
nug.csv,0.48,0.25,0.82,0.59
