,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.73,0.58,0.33,0.46
n2cms.csv,0.53,0.39,0.31,0.35
nassp.csv,0.72,0.91,0.56,0.5
nug.csv,0.4,0.86,0.67,0.47
