,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,4.0,0.0,69.0,9.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,39.0,1.0,0.0
jicarilla.csv,72.0,0.0,2.0,281.0,2.0,0.0,61.0,77.0,27.0,4.0,95.0,260.0,12.0,9.0
jmule.csv,25.0,4.0,7.0,18.0,0.0,0.0,2.0,4.0,3.0,0.0,2.0,14.0,4.0,0.0
micomt.csv,50.0,6.0,4.0,28.0,9.0,1.0,1.0,8.0,1.0,2.0,0.0,77.0,1.0,7.0
migen.csv,9.0,1.0,1.0,25.0,0.0,0.0,2.0,1.0,5.0,1.0,5.0,0.0,6.0,1.0
mvnforum.csv,72.0,7.0,1.0,38.0,2.0,3.0,1.0,9.0,1.0,2.0,2.0,0.0,8.0,52.0
ng4j.csv,36.0,4.0,69.0,15.0,0.0,0.0,4.0,3.0,1.0,0.0,1.0,29.0,5.0,1.0
open-data-kit.csv,15.0,1.0,2.0,74.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,59.0,1.0,0.0
opennms.csv,6.0,3.0,3.0,9.0,0.0,1.0,61.0,6.0,28.0,2.0,95.0,2.0,1.0,2.0
ossim.csv,18.0,2.0,2.0,9.0,2.0,17.0,0.0,5.0,14.0,0.0,9.0,4.0,1.0,7.0
plplot.csv,43.0,7.0,5.0,16.0,0.0,3.0,0.0,4.0,4.0,1.0,1.0,35.0,1.0,1.0
qedo.csv,72.0,5.0,1.0,56.0,1.0,6.0,0.0,8.0,2.0,2.0,95.0,0.0,78.0,3.0
tradelink.csv,34.0,5.0,2.0,19.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,0.0,0.0,2.0
wgs-assembler.csv,16.0,1.0,69.0,36.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,3.0
