,autofac.csv,mobicents.csv,snakeyaml.csv,chrysalis.csv,xamj.csv
autofac.csv,0.03,0.54,0.54,0.6,0.58
chrysalis.csv,0.93,0.83,1.0,0.04,0.87
mobicents.csv,0.67,0.02,0.62,0.71,0.55
snakeyaml.csv,0.66,0.79,0.19,0.98,0.72
xamj.csv,0.66,0.54,0.43,0.8,0.03
